user_id,categories
8,1079 429 755 2330 426    
12,1898 789 672 66 163      
27,200 672 66 163 424       
39,2138 160 672 66 163      
40,2273 672 66 163 424      
45,431 1407 672 66 163      
57,2096 672 66 163 424      
67,163 672 66 1404 424      
68,1821 1826 672 66 163     
70,135 237 2173 163 672     
75,1948 1105 672 66 163     
77,486 2115 1215 431 672    
86,672 2193 1351 2104 1241  
96,547 103 672 66 163       
100,2081 2178 804 1321 124   
109,1088 672 1351 898 441    
113,688 1141 1180 1336 20    
131,1445 1826 1931 1939 672  
133,197 672 66 163 424       
138,1335 672 66 163 424      
140,672 1870 830 775 13      
146,2377 134 421 831 2129    
148,818 672 66 2100 163      
151,1039 672 66 163 424      
153,129 672 66 163 424       
156,672 66 163 424 134       
163,56 127 672 66 163        
172,1488 66 672 163 424      
198,819 66 2286 672 822      
202,672 66 163 424 134       
205,1078 1821 1473 672 66    
210,1823 110 672 66 163      
225,53 2124 672 66 163       
233,1505 672 66 163 424      
243,911 672 66 163 424       
255,784 672 66 163 424       
256,1284 1103 672 66 163     
257,672 495 1409 663 1028    
263,1329 672 66 163 424      
265,493 672 66 163 424       
267,1283 937 789 672 66      
268,2040 911 82 672 66       
269,1509 672 66 163 424      
271,2060 1434 672 789 66     
272,127 672 66 163 424       
275,130 2107 1361 866 1636   
277,672 66 163 424 134       
288,103 672 66 163 424       
289,784 672 66 163 424       
290,1892 2516 672 66 163     
300,504 1956 672 66 163      
301,196 672 66 163 424       
308,695 672 66 163 424       
309,120 1039 452 678 766     
313,1188 424 103 473 101     
320,163 672 66 424 134       
325,2344 672 66 163 424      
328,1952 672 66 163 424      
334,937 103 107 672 66       
336,66 672 163 424 134       
345,1899 553 968 1201 672    
346,127 672 66 163 424       
348,1006 672 66 163 424      
352,677 672 66 163 424       
354,193 78 2187 672 2329     
355,770 672 450 1646 66      
356,918 2431 2242 672 785    
372,672 66 163 424 134       
374,433 426 672 66 163       
383,302 672 901 66 163       
391,1640 1144 1302 2373 253  
392,66 672 163 424 134       
393,2015 672 66 163 424      
395,1183 1050 672 66 163     
404,948 160 1765 1465 163    
414,120 672 66 163 424       
420,950 672 66 163 424       
428,1065 1136 1121 672 66    
435,253 1064 444 672 66      
445,2009 672 66 163 424      
452,1948 1952 672 66 163     
459,672 1409 66 163 424      
470,553 672 66 163 424       
480,1887 2092 2088 103 784   
482,2265 440 138 112 672     
490,1620 672 66 163 424      
495,163 830 159 672 66       
501,784 995 2339 1952 864    
508,936 785 672 66 163       
522,1253 1266 672 66 163     
523,130 1039 901 866 462     
525,171 672 66 163 424       
527,2009 672 66 163 424      
537,1366 672 66 163 424      
538,672 160 66 163 424       
543,2544 1065 672 66 163     
546,672 424 105 663 427      
551,162 1668 672 66 163      
552,911 124 757 827 756      
569,200 818 672 66 163       
576,113 2568 672 66 163      
582,838 114 672 66 163       
585,2311 672 66 163 424      
588,90 672 66 163 424        
589,2009 672 66 163 424      
594,49 672 553 66 163        
595,2021 452 470 672 66      
598,192 672 66 163 424       
603,672 66 163 424 134       
612,771 672 66 163 424       
617,672 424 422 674 66       
618,1560 1749 672 66 163     
622,750 163 177 753 784      
640,1956 1455 1435 1137 672  
641,237 672 66 163 424       
664,851 672 66 163 424       
668,1021 456 672 66 163      
671,1666 66 672 2485 163     
673,135 170 1424 2173 1166   
685,2002 672 66 163 424      
688,665 672 66 163 424       
702,981 1892 2003 672 66     
715,1907 672 66 163 424      
719,1766 480 134 672 475     
722,672 424 2446 103 422     
725,789 672 1605 1514 1267   
728,163 672 66 424 134       
730,1488 428 1080 462 423    
759,951 672 66 163 424       
764,1142 2108 771 486 2208   
780,434 672 1244 66 163      
788,1040 672 663 1981 450    
794,424 498 492 672 2231     
796,1024 672 66 163 424      
810,1376 2559 2553 2551 220  
812,1634 2473 103 672 1892   
818,1409 163 459 1328 793    
836,1107 672 66 163 424      
841,826 672 827 66 163       
846,1365 678 672 66 163      
865,672 674 428 901 66       
870,127 672 66 163 424       
871,1167 1470 672 66 163     
879,695 672 66 163 424       
883,103 672 66 163 424       
898,422 672 66 163 424       
901,160 672 66 163 424       
906,66 672 163 424 134       
912,784 789 2419 672 1944    
916,770 672 66 163 424       
926,938 493 672 66 163       
935,120 672 66 163 424       
945,672 2260 1064 1938 424   
946,163 672 66 424 134       
957,277 672 66 163 424       
965,2020 103 444 1093 433    
968,672 663 66 827 163       
974,672 1245 1401 435 89     
990,1138 672 66 163 424      
991,1619 672 1214 66 2399    
1003,1136 2403 672 66 163     
1004,672 66 163 424 134       
1011,1107 1075 672 66 163     
1013,672 66 163 424 134       
1020,440 2183 873 2081 894    
1026,480 672 66 163 424       
1027,1077 672 66 163 424      
1039,1107 672 66 163 424      
1041,198 672 66 163 424       
1044,459 672 66 163 424       
1049,1245 1409 1909 672 66    
1056,1193 672 66 163 424      
1057,160 672 1899 486 144     
1067,911 1268 672 66 163      
1070,962 672 66 163 424       
1079,672 663 1378 66 163      
1089,200 237 672 66 163       
1093,221 2558 672 66 163      
1105,904 2456 672 66 163      
1106,672 900 901 66 163       
1108,905 145 672 66 163       
1113,138 672 66 163 424       
1117,1190 672 66 163 424      
1118,1758 1662 1450 1244 2187 
1119,56 960 72 762 66         
1124,882 672 66 163 424       
1125,134 672 66 163 424       
1128,1666 1450 1637 2422 895  
1149,237 672 66 163 424       
1152,120 672 66 163 424       
1156,750 126 672 66 163       
1158,1411 237 672 66 163      
1163,1136 672 66 163 424      
1165,424 672 66 163 134       
1168,237 672 66 163 424       
1172,672 66 163 424 134       
1176,672 2185 421 422 424     
1190,2273 1086 672 66 163     
1193,1171 672 66 163 424      
1202,672 901 4 6 66           
1204,826 444 795 851 134      
1230,882 672 66 163 424       
1245,1370 452 438 672 66      
1247,674 1028 2016 1340 672   
1264,826 672 66 163 424       
1289,755 672 66 163 424       
1290,1953 1046 672 66 163     
1306,103 188 1658 1093 110    
1310,675 1028 678 673 663     
1314,672 160 424 148 147      
1319,44 993 2294 1027 832     
1320,1378 672 66 163 424      
1325,66 553 672 163 424       
1334,113 672 66 163 424       
1356,1107 672 66 163 424      
1363,1604 937 103 1059 747    
1374,757 672 66 163 424       
1376,672 66 163 424 134       
1384,493 672 66 163 424       
1389,439 163 672 66 424       
1391,672 163 135 1882 2098    
1392,751 756 748 749 971      
1405,750 672 66 163 424       
1422,1892 672 66 163 424      
1427,130 672 66 163 424       
1437,66 672 163 424 134       
1448,135 672 1284 200 197     
1454,2148 672 66 163 424      
1456,672 1107 66 163 424      
1458,433 2273 426 672 1000    
1476,1120 674 1246 672 127    
1479,1409 672 66 163 424      
1492,672 66 163 424 134       
