user_id,categories
8,1409 134 108 429 755     
12,1898 672 66 424 163      
27,200 672 66 424 163       
39,160 2138 672 66 424      
40,2273 672 66 424 163      
45,1407 431 672 66 424      
57,2096 672 66 424 163      
67,163 1404 672 66 424      
68,1821 1826 672 66 424     
70,135 2173 163 237 873     
75,1105 672 1948 66 424     
77,431 486 2115 1215 672    
86,1351 672 1086 2193 1246  
96,103 547 672 66 424       
100,124 2178 135 2081 804    
109,672 1088 440 1063 422    
113,20 1138 2124 1201 1180   
131,1445 435 1939 1826 1931  
133,197 672 66 424 163       
138,1335 672 66 424 163      
140,1353 672 775 830 1870    
146,134 2377 672 66 424      
148,818 2100 672 66 424      
151,1039 672 66 424 163      
153,129 672 66 424 163       
156,672 66 424 163 134       
163,56 127 672 66 424        
172,66 1488 672 424 163      
198,2286 819 822 672 66      
202,672 66 424 163 134       
205,1821 1473 1078 672 66    
210,110 1823 672 66 424      
225,2124 53 672 66 424       
233,1505 672 66 424 163      
243,911 672 66 424 163       
255,784 672 66 424 163       
256,1284 1103 672 66 424     
257,495 1409 672 1765 1028   
263,1329 672 66 424 163      
265,493 672 66 424 163       
267,1283 937 672 66 424      
268,2040 82 672 66 424       
269,1509 672 66 424 163      
271,1434 2060 672 66 424     
272,127 672 66 424 163       
275,2107 866 130 672 66      
277,672 66 424 163 134       
288,103 672 66 424 163       
289,784 672 66 424 163       
290,1892 2516 672 66 424     
300,1956 504 672 66 424      
301,196 672 66 424 163       
308,695 672 66 424 163       
309,120 1039 452 766 678     
313,101 1188 424 103 435     
320,163 672 66 424 134       
325,2344 672 66 424 163      
328,1952 672 66 424 163      
334,937 672 66 424 163       
336,66 672 424 163 134       
345,553 1899 672 968 1201    
346,127 672 66 424 163       
348,1006 672 66 424 163      
352,677 672 66 424 163       
354,78 193 2187 2329 672     
355,450 770 1646 672 66      
356,918 2431 2242 672 66     
372,672 66 424 163 134       
374,433 672 66 424 163       
383,302 672 66 424 163       
391,199 253 1634 1640 1435   
392,66 672 424 163 134       
393,2015 672 66 424 163      
395,1183 1050 672 66 424     
404,1465 1765 160 948 672    
414,120 672 66 424 163       
420,950 672 66 424 163       
428,1065 1136 1121 672 66    
435,1064 444 253 672 66      
445,2009 672 66 424 163      
452,1948 1952 672 66 424     
459,672 66 424 163 134       
470,553 672 66 424 163       
480,2092 784 1887 2088 672   
482,112 440 138 2265 672     
490,1620 672 66 424 163      
495,830 163 159 672 66       
501,995 1442 864 116 672     
508,785 936 672 66 424       
522,1253 1266 672 66 424     
523,459 130 2540 197 866     
525,171 672 66 424 163       
527,2009 672 66 424 163      
537,1366 672 66 424 163      
538,672 160 66 424 163       
543,2544 672 66 424 163      
546,672 427 2108 424 433     
551,162 672 66 424 163       
552,827 1355 911 750 124     
569,200 818 672 66 424       
576,113 2568 672 66 424      
582,838 114 672 66 424       
585,2311 672 66 424 163      
588,90 672 66 424 163        
589,2009 672 66 424 163      
594,553 49 672 66 424        
595,452 2021 470 672 66      
598,672 192 66 424 163       
603,672 66 424 163 134       
612,771 672 66 424 163       
617,672 422 424 674 66       
618,1749 1560 672 66 424     
622,749 751 750 1238 163     
640,1956 1455 2452 672 66    
641,237 672 66 424 163       
664,851 672 66 424 163       
668,1021 456 672 66 424      
671,66 1666 2485 672 424     
673,134 1562 170 2036 135    
685,2002 672 66 424 163      
688,665 672 66 424 163       
702,2003 1892 981 672 66     
715,1907 672 66 424 163      
719,672 480 1766 134 882     
722,424 103 1340 672 433     
725,1605 789 1514 672 1267   
728,163 672 66 424 134       
730,1080 428 1488 672 475    
759,951 672 66 424 163       
764,2108 771 486 2208 237    
780,672 434 1244 66 424      
788,108 237 672 134 1040     
794,424 492 440 130 498      
796,1024 672 66 424 163      
810,1376 2559 2553 672 66    
812,2473 641 672 1634 1307   
818,1171 163 1409 459 1328   
836,1107 672 66 424 163      
841,826 672 66 424 163       
846,678 1365 672 66 424      
865,672 66 424 163 134       
870,127 672 66 424 163       
871,1470 1167 672 66 424     
879,695 672 66 424 163       
883,103 672 66 424 163       
898,422 672 66 424 163       
901,160 672 66 424 163       
906,66 672 424 163 134       
912,784 1944 2419 789 672    
916,770 672 66 424 163       
926,493 938 672 66 424       
935,120 672 66 424 163       
945,424 672 1245 452 109     
946,163 672 66 424 134       
957,277 672 66 424 163       
965,433 427 480 2020 479     
968,672 827 66 424 163       
974,1245 1401 672 435 89     
990,672 1138 66 424 163      
991,1193 1184 1619 2399 672  
1003,1136 672 66 424 163      
1004,672 66 424 163 134       
1011,1107 1075 672 66 424     
1013,672 66 424 163 134       
1020,440 2183 672 873 2081    
1026,480 672 66 424 163       
1027,1077 672 66 424 163      
1039,1107 672 66 424 163      
1041,198 672 66 424 163       
1044,459 672 66 424 163       
1049,1245 1409 672 66 424     
1056,1193 672 66 424 163      
1057,160 672 66 424 163       
1067,911 1268 672 66 424      
1070,962 672 66 424 163       
1079,672 1378 66 424 163      
1089,237 200 672 66 424       
1093,221 672 66 424 163       
1105,904 672 66 424 163       
1106,672 66 424 163 134       
1108,905 145 672 66 424       
1113,138 672 66 424 163       
1117,1190 672 66 424 163      
1118,1244 1758 1450 1662 2187 
1119,960 66 56 72 762         
1124,882 672 66 424 163       
1125,134 672 66 424 163       
1128,895 2187 771 1213 1272   
1149,237 672 66 424 163       
1152,120 672 66 424 163       
1156,750 126 672 66 424       
1158,237 1411 672 66 424      
1163,1136 672 66 424 163      
1165,424 672 66 163 134       
1168,237 672 66 424 163       
1172,672 66 424 163 134       
1176,672 2185 66 424 163      
1190,2273 672 66 424 163      
1193,1171 672 66 424 163      
1202,672 66 424 163 134       
1204,851 795 826 749 672      
1230,882 672 66 424 163       
1245,1370 452 438 672 66      
1247,1028 674 450 2016 1049   
1264,826 672 66 424 163       
1289,755 672 66 424 163       
1290,1953 1046 672 66 424     
1306,188 110 103 137 1658     
1310,675 672 66 424 163       
1314,424 672 130 435 160      
1319,44 784 832 993 1027      
1320,1378 672 66 424 163      
1325,66 672 424 163 134       
1334,113 672 66 424 163       
1356,1107 672 66 424 163      
1363,937 768 747 1059 1604    
1374,757 672 66 424 163       
1376,672 66 424 163 134       
1384,493 672 66 424 163       
1389,439 163 672 66 424       
1391,672 163 424 135 2098     
1392,751 672 66 424 163       
1405,750 672 66 424 163       
1422,1892 672 66 424 163      
1427,130 672 66 424 163       
1437,66 672 424 163 134       
1448,1284 135 200 197 672     
1454,2148 672 66 424 163      
1456,672 1107 66 424 163      
1458,433 2273 1000 672 66     
1476,674 127 1246 1120 672    
1479,1409 672 66 424 163      
1492,672 66 424 163 134       
1493,759 863 134 995 760      
1497,422 672 66 424 163       
1503,105 1063 98 1409 672     
1512,2107 672 66 424 163      
1536,56 2003 672 66 424       
1542,912 672 66 424 163       
1547,672 66 424 163 134       
1552,424 1580 1593 672 66     
1556,1521 1641 1274 504 1016  
1563,910 672 66 424 163       
1565,687 492 1007 672 66      
1568,672 66 424 163 134       
1570,687 672 66 424 163       
1571,669 1049 672 66 424      
1572,108 672 66 424 163       
1583,803 672 66 424 163       
1584,1517 1193 1824 672 66    
1588,35 672 66 424 163        
1589,253 672 66 424 163       
1600,1885 930 1232 672 66     
1604,389 672 66 424 163       
1608,2049 440 2451 672 66     
1612,789 672 66 424 163       
1627,771 1411 672 66 424      
1629,1189 7 672 66 424        
1630,134 2028 771 2208 187    
1633,672 66 424 163 134       
1638,440 447 893 2183 672     
1643,138 672 977 424 66       
1689,954 787 981 672 66       
1696,893 455 1489 672 66      
1701,189 2362 440 110 672     
1708,2625 672 66 424 163      
1709,672 103 162 66 424       
1712,1378 40 672 66 424       
1714,672 66 424 163 134       
1719,672 674 66 1177 113      
1720,797 2225 909 672 66      
1721,1994 1136 672 66 424     
1726,672 66 424 163 134       
1735,804 672 66 424 163       
1738,112 134 140 163 444      
1742,206 774 1407 747 2470    
1743,253 672 66 424 163       
1750,672 1248 1886 66 424     
1751,503 705 672 66 424       
1757,1274 157 2555 672 66     
1765,1295 672 66 424 163      
1767,937 672 66 424 163       
1768,1295 1086 993 790 2228   
1770,672 882 66 424 163       
1774,1105 672 66 424 163      
1784,440 793 462 1899 672     
1788,1067 1006 1637 2385 672  
1791,1177 672 66 424 163      
1805,111 672 66 424 163       
1808,893 784 672 66 424       
1813,2558 672 66 424 163      
1814,480 672 66 424 163       
1818,698 2399 672 66 424      
1829,470 461 66 239 424       
1841,573 687 1021 33 672      
