user_id,categories
8,1079 429 755 2330 1409   
12,1898 789 672 66 424      
27,200 672 66 424 163       
39,2138 160 672 66 424      
40,2273 672 66 424 163      
45,431 1407 672 66 424      
57,2096 672 66 424 163      
67,163 1404 672 66 424      
68,1821 1826 672 66 424     
70,135 2173 237 163 873     
75,1948 1105 672 66 424     
77,486 2115 1215 431 672    
86,672 1351 2193 1246 2104  
96,547 103 672 66 424       
100,2178 2081 124 804 1321   
109,1088 672 1351 422 1361   
113,1141 688 20 1180 1138    
131,1445 1826 1931 1939 1067 
133,197 672 66 424 163       
138,1335 672 66 424 163      
140,672 1870 830 775 1353    
146,2377 134 421 831 2129    
148,818 2100 672 66 424      
151,1039 672 66 424 163      
153,129 672 66 424 163       
156,672 66 424 163 134       
163,56 127 672 66 424        
172,1488 66 672 424 163      
198,819 2286 822 66 672      
202,672 66 424 163 134       
205,1078 1821 1473 672 66    
210,1823 110 672 66 424      
225,53 2124 672 66 424       
233,1505 672 66 424 163      
243,911 672 66 424 163       
255,784 672 66 424 163       
256,1284 1103 672 66 424     
257,495 1409 672 1028 663    
263,1329 672 66 424 163      
265,493 672 66 424 163       
267,1283 937 789 672 66      
268,2040 82 911 672 66       
269,1509 672 66 424 163      
271,2060 1434 789 672 66     
272,127 672 66 424 163       
275,130 2107 866 1361 1636   
277,672 66 424 163 134       
288,103 672 66 424 163       
289,784 672 66 424 163       
290,1892 2516 672 66 424     
300,504 1956 672 66 424      
301,196 672 66 424 163       
308,695 672 66 424 163       
309,120 452 1039 766 678     
313,1188 101 424 103 473     
320,163 672 66 424 134       
325,2344 672 66 424 163      
328,1952 672 66 424 163      
334,937 103 107 672 66       
336,66 672 424 163 134       
345,1899 553 968 672 1201    
346,127 672 66 424 163       
348,1006 672 66 424 163      
352,677 672 66 424 163       
354,78 193 2187 2329 672     
355,770 450 1646 672 66      
356,918 2431 2242 672 785    
372,672 66 424 163 134       
374,433 426 672 66 424       
383,302 672 901 66 424       
391,1640 253 1144 1302 199   
392,66 672 424 163 134       
393,2015 672 66 424 163      
395,1183 1050 672 66 424     
404,948 160 1765 1465 163    
414,120 672 66 424 163       
420,950 672 66 424 163       
428,1065 1136 1121 672 66    
435,253 1064 444 672 66      
445,2009 672 66 424 163      
452,1948 1952 672 66 424     
459,672 1409 66 424 163      
470,553 672 66 424 163       
480,1887 2092 784 2088 103   
482,2265 112 440 138 672     
490,1620 672 66 424 163      
495,830 163 159 672 66       
501,995 784 864 1442 2339    
508,936 785 672 66 424       
522,1253 1266 672 66 424     
523,130 459 866 231 462      
525,171 672 66 424 163       
527,2009 672 66 424 163      
537,1366 672 66 424 163      
538,672 160 66 424 163       
543,2544 1065 672 66 424     
546,672 424 427 105 2108     
551,162 1668 672 66 424      
552,911 124 757 827 1355     
569,200 818 672 66 424       
576,113 2568 672 66 424      
582,838 114 672 66 424       
585,2311 672 66 424 163      
588,90 672 66 424 163        
589,2009 672 66 424 163      
594,49 553 672 66 424        
595,2021 452 470 672 66      
598,192 672 66 424 163       
603,672 66 424 163 134       
612,771 672 66 424 163       
617,672 422 424 674 66       
618,1560 1749 672 66 424     
622,163 750 749 177 751      
640,1956 1455 1435 2452 1137 
641,237 672 66 424 163       
664,851 672 66 424 163       
668,1021 456 672 66 424      
671,1666 66 2485 672 424     
673,135 134 1424 170 2173    
685,2002 672 66 424 163      
688,665 672 66 424 163       
702,981 1892 2003 672 66     
715,1907 672 66 424 163      
719,1766 480 134 672 475     
722,424 672 103 2446 433     
725,789 1605 672 1514 1267   
728,163 672 66 424 134       
730,1488 428 1080 462 423    
759,951 672 66 424 163       
764,2108 771 486 1142 2208   
780,672 434 1244 66 424      
788,1040 672 663 1981 674    
794,424 498 492 2231 440     
796,1024 672 66 424 163      
810,1376 2559 2553 2551 220  
812,2473 1634 672 641 103    
818,1409 163 459 1171 1328   
836,1107 672 66 424 163      
841,826 827 672 66 424       
846,1365 678 672 66 424      
865,672 674 428 901 66       
870,127 672 66 424 163       
871,1470 1167 672 66 424     
879,695 672 66 424 163       
883,103 672 66 424 163       
898,422 672 66 424 163       
901,160 672 66 424 163       
906,66 672 424 163 134       
912,784 2419 789 1944 672    
916,770 672 66 424 163       
926,938 493 672 66 424       
935,120 672 66 424 163       
945,672 424 2260 1064 1938   
946,163 672 66 424 134       
957,277 672 66 424 163       
965,433 2020 427 103 444     
968,672 663 827 66 424       
974,672 1245 1401 435 89     
990,1138 672 66 424 163      
991,1619 2399 1193 1184 1214 
1003,1136 2403 672 66 424     
1004,672 66 424 163 134       
1011,1107 1075 672 66 424     
1013,672 66 424 163 134       
1020,440 2183 873 672 2081    
1026,480 672 66 424 163       
1027,1077 672 66 424 163      
1039,1107 672 66 424 163      
1041,198 672 66 424 163       
1044,459 672 66 424 163       
1049,1245 1409 1909 672 1899  
1056,1193 672 66 424 163      
1057,160 672 1899 486 144     
1067,911 1268 672 66 424      
1070,962 672 66 424 163       
1079,672 1378 663 66 424      
1089,200 237 672 66 424       
1093,221 2558 672 66 424      
1105,904 2456 672 66 424      
1106,672 900 901 66 424       
1108,905 145 672 66 424       
1113,138 672 66 424 163       
1117,1190 672 66 424 163      
1118,1758 1662 1244 1450 2187 
1119,56 960 72 762 66         
1124,882 672 66 424 163       
1125,134 672 66 424 163       
1128,895 1450 1666 1637 341   
1149,237 672 66 424 163       
1152,120 672 66 424 163       
1156,750 126 672 66 424       
1158,1411 237 672 66 424      
1163,1136 672 66 424 163      
1165,424 672 66 163 134       
1168,237 672 66 424 163       
1172,672 66 424 163 134       
1176,672 2185 421 422 424     
1190,2273 1086 672 66 424     
1193,1171 672 66 424 163      
1202,672 901 4 6 66           
1204,826 134 851 795 444      
1230,882 672 66 424 163       
1245,1370 452 438 672 66      
1247,674 1028 2016 1340 675   
1264,826 672 66 424 163       
1289,755 672 66 424 163       
1290,1953 1046 672 110 66     
1306,188 103 110 1658 137     
1310,675 1028 678 673 663     
1314,424 672 160 148 130      
1319,44 993 2294 1027 832     
1320,1378 672 66 424 163      
1325,66 553 672 424 163       
1334,113 672 66 424 163       
1356,1107 672 66 424 163      
1363,937 1604 1059 747 103    
1374,757 672 66 424 163       
1376,672 66 424 163 134       
1384,493 672 66 424 163       
1389,439 163 672 424 900      
1391,672 163 135 1882 2098    
1392,751 756 748 749 971      
1405,750 672 66 424 163       
1422,1892 672 66 424 163      
1427,130 672 66 424 163       
1437,66 672 424 163 134       
1448,135 1284 200 197 672     
1454,2148 672 66 424 163      
1456,672 1107 66 424 163      
1458,433 2273 426 1000 672    
1476,1120 674 1246 127 672    
1479,1409 672 66 424 163      
1492,672 66 424 163 134       
1493,134 995 760 759 1038     
1497,422 672 66 424 163       
1503,1063 105 98 1409 672     
1512,2107 672 66 424 163      
1536,2003 56 2191 2076 672    
1542,912 672 66 424 163       
1547,672 66 424 163 134       
1552,424 1580 1593 73 421     
1556,1521 1641 1016 504 1274  
1563,910 672 66 424 163       
1565,1007 687 492 672 66      
1568,672 66 424 163 134       
1570,687 672 66 424 163       
1571,1049 669 20 672 66       
1572,108 672 66 424 163       
1583,803 672 66 424 163       
1584,1517 1193 1824 672 66    
1588,35 66 672 424 163        
1589,253 672 66 424 163       
1600,1232 1885 930 1450 672   
1604,389 672 66 424 163       
1608,440 2049 421 2451 672    
1612,789 672 66 424 163       
1627,1411 771 672 66 424      
1629,1189 7 672 66 424        
1630,134 2028 771 2208 187    
1633,672 66 424 163 134       
1638,440 873 447 893 2183     
1643,138 424 672 977 66       
1689,954 787 981 672 66       
1696,1489 893 455 672 66      
1701,189 2362 440 110 672     
1708,2625 672 66 424 163      
1709,162 672 103 1909 66      
1712,1378 40 672 66 424       
1714,672 2021 901 663 66      
1719,672 66 882 25 46         
1720,797 2225 909 672 66      
1721,1994 1136 672 66 424     
1726,672 66 424 163 134       
1735,804 672 66 424 163       
1738,112 444 163 2170 140     
1742,206 774 1407 813 747     
1743,253 672 66 424 163       
1750,672 1248 1886 1768 1779  
1751,503 705 672 66 424       
1757,2555 157 1274 672 66     
1765,1295 672 66 424 163      
1767,937 672 66 424 163       
1768,1086 993 790 1295 799    
1770,672 233 882 1940 2379    
1774,1105 672 66 424 163      
1784,440 1401 462 793 1899    
1788,1006 2385 1067 1637 1628 
1791,1177 672 66 424 163      
1805,111 672 66 424 163       
1808,893 784 672 66 424       
1813,2558 672 66 424 163      
1814,480 672 66 424 163       
1818,698 2399 672 66 424      
1829,470 461 459 1039 2399    
1841,573 687 33 63 1021       
1843,1028 435 672 66 424      
1848,674 875 793 2286 815     
1850,1347 672 66 424 163      
1857,750 672 66 424 163       
1865,98 672 66 424 163        
1866,948 1138 424 672 66      
1895,127 1875 672 66 424      
1896,124 882 66 977 764       
1906,911 126 163 123 135      
1913,197 196 1000 672 66      
1918,504 503 1826 1454 1837   
1921,2108 672 66 424 163      
1927,22 19 983 21 1245        
1933,1892 2010 672 66 424     
1946,672 901 66 424 163       
1947,1821 672 66 424 163      
1963,1826 672 66 424 163      
1964,1406 206 2505 164 1301   
1965,918 922 1662 1634 1751   
1969,424 672 66 163 134       
1971,1668 672 66 424 163      
1991,678 110 747 793 134      
1996,65 927 465 1736 672      
2002,2274 75 87 1183 672      
2011,832 2028 108 422 1213    
2017,110 672 66 424 163       
2020,672 66 424 163 134       
2021,129 122 672 66 424       
2026,784 793 672 663 66       
2037,1161 817 2081 2148 1103  
2045,1028 452 1412 672 66     
2050,2398 672 66 424 163      
2059,103 119 672 66 424       
2060,1942 2358 891 2638 672   
2068,424 452 784 2146 2144    
2085,672 1240 66 424 163      
2086,1251 672 66 424 163      
2087,2212 672 66 424 163      
2089,135 672 2252 66 424      
2091,94 1005 2166 672 66      
2095,430 672 444 426 66       
2096,66 740 820 672 424       
2123,672 66 424 163 134       
2132,237 1590 672 66 424      
2143,2431 789 1724 2356 672   
2144,1040 1409 232 672 66     
2147,672 66 424 163 134       
2149,1634 672 66 424 163      
2154,1024 672 66 424 163      
2168,922 672 66 424 163       
2172,1765 672 66 424 163      
2174,2104 51 424 435 672      
2177,66 672 424 163 134       
2180,1558 672 66 424 163      
2182,950 672 66 424 163       
2186,1451 672 66 424 163      
2190,672 663 66 424 163       
2191,866 672 66 424 163       
2202,1409 473 672 66 424      
2208,672 66 424 163 134       
2214,799 672 66 424 163       
2218,1761 130 56 893 66       
2219,2270 672 66 424 163      
2221,674 672 663 66 424       
2230,696 157 672 66 424       
2234,1258 672 66 424 163      
2245,672 66 424 163 134       
2256,676 465 672 66 424       
2258,993 1468 1019 911 138    
2264,1267 672 66 424 163      
2272,1245 672 66 1063 1454    
2277,672 427 163 110 486      
2278,424 672 66 163 134       
2279,424 672 66 163 134       
2281,103 96 672 66 424        
