user_id,categories
8,429 1079 755 103 426     
12,1898 672 66 163 424      
27,200 672 66 163 424       
39,2138 672 66 163 424      
40,2273 672 66 163 424      
45,431 1407 672 66 163      
57,2096 672 66 163 424      
67,163 672 66 424 134       
68,1821 1826 672 66 163     
70,135 237 672 66 163       
75,1948 1105 672 66 163     
77,486 2115 1215 672 66     
86,672 2193 2104 1241 66    
96,547 672 66 163 424       
100,2178 2081 672 66 163     
109,1088 672 1351 898 441    
113,1141 688 1180 1170 672   
131,1445 1939 1931 1826 672  
133,197 672 66 163 424       
138,1335 672 66 163 424      
140,672 1870 775 830 13      
146,2377 831 421 2129 672    
148,818 672 66 163 424       
151,1039 672 66 163 424      
153,129 672 66 163 424       
156,672 66 163 424 134       
163,56 672 66 163 424        
172,1488 66 672 163 424      
198,819 66 672 163 424       
202,672 66 163 424 134       
205,1078 672 66 163 424      
210,1823 672 66 163 424      
225,53 672 66 163 424        
233,1505 672 66 163 424      
243,911 672 66 163 424       
255,784 672 66 163 424       
256,1103 1284 672 66 163     
257,672 663 66 163 424       
263,1329 672 66 163 424      
265,493 672 66 163 424       
267,1283 937 672 66 163      
268,2040 911 672 66 163      
269,1509 672 66 163 424      
271,2060 672 66 163 424      
272,127 672 66 163 424       
275,130 1361 672 66 163      
277,672 66 163 424 134       
288,103 672 66 163 424       
289,784 672 66 163 424       
290,1892 2516 672 66 163     
300,504 1956 672 66 163      
301,196 672 66 163 424       
308,695 672 66 163 424       
309,120 452 1039 678 766     
313,1188 473 424 103 672     
320,163 672 66 424 134       
325,2344 672 66 163 424      
328,1952 672 66 163 424      
334,937 103 107 672 66       
336,66 672 163 424 134       
345,1899 553 672 1201 968    
346,127 672 66 163 424       
348,1006 672 66 163 424      
352,677 672 66 163 424       
354,193 2187 78 672 66       
355,770 672 66 163 424       
356,918 2431 2242 672 66     
372,672 66 163 424 134       
374,433 426 672 66 163       
383,302 672 66 163 424       
391,253 1640 2373 1302 1144  
392,66 672 163 424 134       
393,2015 672 66 163 424      
395,1183 1050 672 66 163     
404,948 160 1765 672 66      
414,120 672 66 163 424       
420,950 672 66 163 424       
428,1065 1136 1121 672 66    
435,253 672 66 163 424       
445,2009 672 66 163 424      
452,1948 672 66 163 424      
459,672 1409 66 163 424      
470,553 672 66 163 424       
480,1887 103 672 66 163      
482,2265 440 672 66 163      
490,1620 672 66 163 424      
495,163 672 66 424 134       
501,784 995 1952 2339 1930   
508,936 672 66 163 424       
522,1253 672 66 163 424      
523,130 1039 901 444 462     
525,171 672 66 163 424       
527,2009 672 66 163 424      
537,1366 672 66 163 424      
538,672 160 66 163 424       
543,2544 1065 672 66 163     
546,672 424 105 901 663      
551,162 672 66 163 424       
552,911 124 757 672 66       
569,200 818 672 66 163       
576,113 672 66 163 424       
582,838 672 66 163 424       
585,2311 672 66 163 424      
588,90 672 66 163 424        
589,2009 672 66 163 424      
594,49 672 66 163 424        
595,452 470 2021 672 66      
598,192 672 66 163 424       
603,672 66 163 424 134       
612,771 672 66 163 424       
617,672 66 163 424 134       
618,1560 672 66 163 424      
622,163 750 177 784 753      
640,1956 1435 672 66 163     
641,237 672 66 163 424       
664,851 672 66 163 424       
668,1021 672 66 163 424      
671,1666 66 672 163 424      
673,135 1424 1166 2173 170   
685,2002 672 66 163 424      
688,665 672 66 163 424       
702,981 672 66 163 424       
715,1907 672 66 163 424      
719,1766 480 134 672 66      
722,672 66 163 424 134       
725,789 672 66 163 424       
728,163 672 66 424 134       
