user_id,categories
8,0 1784 1785 1786 1787    
12,0 1784 1785 1786 1787    
27,0 1784 1785 1786 1787    
39,0 1784 1785 1786 1787    
40,0 1784 1785 1786 1787    
45,0 1784 1785 1786 1787    
57,0 1784 1785 1786 1787    
67,0 1784 1785 1786 1787    
68,0 1784 1785 1786 1787    
70,0 1784 1785 1786 1787    
75,0 1784 1785 1786 1787    
77,0 1784 1785 1786 1787    
86,0 1784 1785 1786 1787    
96,0 1784 1785 1786 1787    
100,0 1784 1785 1786 1787    
109,0 1784 1785 1786 1787    
113,0 1784 1785 1786 1787    
131,0 1784 1785 1786 1787    
133,0 1784 1785 1786 1787    
138,0 1784 1785 1786 1787    
140,0 1784 1785 1786 1787    
146,0 1784 1785 1786 1787    
148,0 1784 1785 1786 1787    
151,0 1784 1785 1786 1787    
153,0 1784 1785 1786 1787    
156,0 1784 1785 1786 1787    
163,0 1784 1785 1786 1787    
172,0 1784 1785 1786 1787    
198,0 1784 1785 1786 1787    
202,0 1784 1785 1786 1787    
205,0 1784 1785 1786 1787    
210,0 1784 1785 1786 1787    
225,0 1784 1785 1786 1787    
233,0 1784 1785 1786 1787    
243,0 1784 1785 1786 1787    
255,0 1784 1785 1786 1787    
256,0 1784 1785 1786 1787    
257,0 1784 1785 1786 1787    
263,0 1784 1785 1786 1787    
265,0 1784 1785 1786 1787    
267,0 1784 1785 1786 1787    
268,0 1784 1785 1786 1787    
269,0 1784 1785 1786 1787    
271,0 1784 1785 1786 1787    
272,0 1784 1785 1786 1787    
275,0 1784 1785 1786 1787    
277,0 1784 1785 1786 1787    
288,0 1784 1785 1786 1787    
289,0 1784 1785 1786 1787    
290,0 1784 1785 1786 1787    
300,0 1784 1785 1786 1787    
301,0 1784 1785 1786 1787    
308,0 1784 1785 1786 1787    
309,0 1784 1785 1786 1787    
313,0 1784 1785 1786 1787    
320,0 1784 1785 1786 1787    
325,0 1784 1785 1786 1787    
328,0 1784 1785 1786 1787    
334,0 1784 1785 1786 1787    
336,0 1784 1785 1786 1787    
345,0 1784 1785 1786 1787    
346,0 1784 1785 1786 1787    
348,0 1784 1785 1786 1787    
352,0 1784 1785 1786 1787    
354,0 1784 1785 1786 1787    
355,0 1784 1785 1786 1787    
356,0 1784 1785 1786 1787    
372,0 1784 1785 1786 1787    
374,0 1784 1785 1786 1787    
383,0 1784 1785 1786 1787    
391,0 1784 1785 1786 1787    
392,0 1784 1785 1786 1787    
393,0 1784 1785 1786 1787    
395,0 1784 1785 1786 1787    
404,0 1784 1785 1786 1787    
414,0 1784 1785 1786 1787    
420,0 1784 1785 1786 1787    
428,0 1784 1785 1786 1787    
435,0 1784 1785 1786 1787    
445,0 1784 1785 1786 1787    
452,0 1784 1785 1786 1787    
459,0 1784 1785 1786 1787    
470,0 1784 1785 1786 1787    
480,0 1784 1785 1786 1787    
482,0 1784 1785 1786 1787    
490,0 1784 1785 1786 1787    
495,0 1784 1785 1786 1787    
501,0 1784 1785 1786 1787    
508,0 1784 1785 1786 1787    
522,0 1784 1785 1786 1787    
523,0 1784 1785 1786 1787    
525,0 1784 1785 1786 1787    
527,0 1784 1785 1786 1787    
537,0 1784 1785 1786 1787    
538,0 1784 1785 1786 1787    
543,0 1784 1785 1786 1787    
546,0 1784 1785 1786 1787    
551,0 1784 1785 1786 1787    
552,0 1784 1785 1786 1787    
569,0 1784 1785 1786 1787    
576,0 1784 1785 1786 1787    
582,0 1784 1785 1786 1787    
585,0 1784 1785 1786 1787    
588,0 1784 1785 1786 1787    
589,0 1784 1785 1786 1787    
594,0 1784 1785 1786 1787    
595,0 1784 1785 1786 1787    
598,0 1784 1785 1786 1787    
603,0 1784 1785 1786 1787    
612,0 1784 1785 1786 1787    
617,0 1784 1785 1786 1787    
618,0 1784 1785 1786 1787    
622,0 1784 1785 1786 1787    
640,0 1784 1785 1786 1787    
641,0 1784 1785 1786 1787    
664,0 1784 1785 1786 1787    
668,0 1784 1785 1786 1787    
671,0 1784 1785 1786 1787    
673,0 1784 1785 1786 1787    
685,0 1784 1785 1786 1787    
688,0 1784 1785 1786 1787    
702,0 1784 1785 1786 1787    
