user_id,categories
8,1079 426 672 66 163      
12,1898 672 66 163 424      
27,200 672 66 163 424       
39,2138 672 66 163 424      
40,2273 672 66 163 424      
45,431 672 66 163 424       
57,2096 672 66 163 424      
67,163 672 66 424 1409      
68,1821 1826 672 66 163     
70,135 237 672 66 163       
75,1948 672 66 163 424      
77,486 1215 2115 672 66     
86,672 66 163 424 1409      
96,547 672 66 163 424       
100,2081 672 66 163 424      
109,672 1088 1351 898 441    
113,688 672 66 163 424       
131,1826 1931 1445 672 66    
133,197 672 66 163 424       
138,1335 672 66 163 424      
140,672 1870 66 163 424      
146,2377 421 672 66 163      
148,818 672 66 163 424       
151,1039 672 66 163 424      
153,129 672 66 163 424       
156,672 66 163 424 1409      
163,56 672 66 163 424        
172,1488 672 66 163 424      
198,819 672 66 163 424       
202,672 66 163 424 1409      
205,1078 672 66 163 424      
210,1823 672 66 163 424      
225,53 672 66 163 424        
233,1505 672 66 163 424      
243,911 672 66 163 424       
255,784 672 66 163 424       
256,1284 1103 672 66 163     
257,672 663 66 163 424       
263,1329 672 66 163 424      
265,493 672 66 163 424       
267,1283 672 66 163 424      
268,2040 911 672 66 163      
269,1509 672 66 163 424      
271,2060 672 66 163 424      
272,127 672 66 163 424       
275,130 1361 672 66 163      
277,672 66 163 424 1409      
288,103 672 66 163 424       
289,672 66 163 424 1409      
290,1892 672 66 163 424      
300,504 672 66 163 424       
301,196 672 66 163 424       
308,695 672 66 163 424       
309,120 1039 452 678 672     
313,424 103 473 672 66       
320,163 672 66 424 1409      
325,2344 672 66 163 424      
328,1952 672 66 163 424      
334,937 103 107 672 66       
336,66 672 163 424 1409      
345,1899 553 968 1201 672    
346,127 672 66 163 424       
348,1006 672 66 163 424      
352,677 672 66 163 424       
354,193 2187 672 66 163      
355,770 672 66 163 424       
356,2431 918 2242 672 66     
372,672 66 163 424 1409      
374,433 426 672 66 163       
383,302 672 66 163 424       
391,1640 1144 1302 672 66    
392,66 672 163 424 1409      
393,2015 672 66 163 424      
395,1183 1050 672 66 163     
404,948 160 1765 672 66      
414,120 672 66 163 424       
420,950 672 66 163 424       
428,1065 1136 1121 672 66    
435,253 672 66 163 424       
445,2009 672 66 163 424      
452,1948 672 66 163 424      
459,672 1409 66 163 424      
470,553 672 66 163 424       
480,1887 103 672 66 163      
482,2265 672 66 163 424      
490,1620 672 66 163 424      
495,163 672 66 424 1409      
501,784 2339 1952 1930 672   
508,936 672 66 163 424       
522,1253 672 66 163 424      
523,130 672 66 163 424       
525,171 672 66 163 424       
527,2009 672 66 163 424      
537,1366 672 66 163 424      
538,160 672 66 163 424       
543,2544 1065 672 66 163     
546,672 424 105 663 421      
551,162 672 66 163 424       
552,124 757 911 672 66       
569,200 818 672 66 163       
576,113 672 66 163 424       
582,838 672 66 163 424       
585,2311 672 66 163 424      
588,90 672 66 163 424        
589,2009 672 66 163 424      
594,49 672 66 163 424        
595,2021 672 66 163 424      
598,192 672 66 163 424       
603,672 66 163 424 1409      
612,771 672 66 163 424       
617,672 66 163 424 1409      
618,1560 672 66 163 424      
622,177 750 672 66 163       
640,1956 672 66 163 424      
641,237 672 66 163 424       
664,851 672 66 163 424       
668,1021 672 66 163 424      
671,1666 672 66 163 424      
673,135 170 2173 1166 1964   
685,2002 672 66 163 424      
688,665 672 66 163 424       
702,981 672 66 163 424       
715,1907 672 66 163 424      
719,1766 134 672 66 163      
722,672 66 163 424 1409      
725,789 672 66 163 424       
728,163 672 66 424 1409      
730,1488 1080 462 672 66     
759,951 672 66 163 424       
764,1142 672 66 163 424      
780,434 672 66 163 424       
788,1040 1981 672 663 2398   
794,424 672 66 163 1409      
796,1024 672 66 163 424      
810,1376 2559 2551 220 456   
812,1634 103 672 1892 663    
818,1409 163 421 793 783     
836,1107 672 66 163 424      
