user_id,categories
8,672 66 163 424 1409
12,672 66 163 424 1409
27,672 66 163 424 1409
39,672 66 163 424 1409
40,672 66 163 424 1409
45,672 66 163 424 1409
57,672 66 163 424 1409
67,672 66 163 424 1409
68,672 66 163 424 1409
70,672 66 163 424 1409
75,672 66 163 424 1409
77,672 66 163 424 1409
86,672 66 163 424 1409
96,672 66 163 424 1409
100,672 66 163 424 1409
109,672 66 163 424 1409
113,672 66 163 424 1409
131,672 66 163 424 1409
133,672 66 163 424 1409
138,672 66 163 424 1409
140,672 66 163 424 1409
146,672 66 163 424 1409
148,672 66 163 424 1409
151,672 66 163 424 1409
153,672 66 163 424 1409
156,672 66 163 424 1409
163,672 66 163 424 1409
172,672 66 163 424 1409
198,672 66 163 424 1409
202,672 66 163 424 1409
205,672 66 163 424 1409
210,672 66 163 424 1409
225,672 66 163 424 1409
233,672 66 163 424 1409
243,672 66 163 424 1409
255,672 66 163 424 1409
256,672 66 163 424 1409
257,672 66 163 424 1409
263,672 66 163 424 1409
265,672 66 163 424 1409
267,672 66 163 424 1409
268,672 66 163 424 1409
269,672 66 163 424 1409
271,672 66 163 424 1409
272,672 66 163 424 1409
275,672 66 163 424 1409
277,672 66 163 424 1409
288,672 66 163 424 1409
289,672 66 163 424 1409
290,672 66 163 424 1409
300,672 66 163 424 1409
301,672 66 163 424 1409
308,672 66 163 424 1409
309,672 66 163 424 1409
313,672 66 163 424 1409
320,672 66 163 424 1409
325,672 66 163 424 1409
328,672 66 163 424 1409
334,672 66 163 424 1409
336,672 66 163 424 1409
345,672 66 163 424 1409
346,672 66 163 424 1409
348,672 66 163 424 1409
352,672 66 163 424 1409
354,672 66 163 424 1409
355,672 66 163 424 1409
356,672 66 163 424 1409
372,672 66 163 424 1409
374,672 66 163 424 1409
383,672 66 163 424 1409
391,672 66 163 424 1409
392,672 66 163 424 1409
393,672 66 163 424 1409
395,672 66 163 424 1409
404,672 66 163 424 1409
414,672 66 163 424 1409
420,672 66 163 424 1409
428,672 66 163 424 1409
435,672 66 163 424 1409
445,672 66 163 424 1409
452,672 66 163 424 1409
459,672 66 163 424 1409
470,672 66 163 424 1409
480,672 66 163 424 1409
482,672 66 163 424 1409
490,672 66 163 424 1409
495,672 66 163 424 1409
501,672 66 163 424 1409
508,672 66 163 424 1409
522,672 66 163 424 1409
523,672 66 163 424 1409
525,672 66 163 424 1409
527,672 66 163 424 1409
537,672 66 163 424 1409
538,672 66 163 424 1409
543,672 66 163 424 1409
546,672 66 163 424 1409
551,672 66 163 424 1409
552,672 66 163 424 1409
569,672 66 163 424 1409
576,672 66 163 424 1409
582,672 66 163 424 1409
585,672 66 163 424 1409
588,672 66 163 424 1409
589,672 66 163 424 1409
594,672 66 163 424 1409
595,672 66 163 424 1409
598,672 66 163 424 1409
603,672 66 163 424 1409
612,672 66 163 424 1409
617,672 66 163 424 1409
618,672 66 163 424 1409
622,672 66 163 424 1409
640,672 66 163 424 1409
641,672 66 163 424 1409
664,672 66 163 424 1409
668,672 66 163 424 1409
671,672 66 163 424 1409
673,672 66 163 424 1409
685,672 66 163 424 1409
688,672 66 163 424 1409
702,672 66 163 424 1409
715,672 66 163 424 1409
719,672 66 163 424 1409
722,672 66 163 424 1409
725,672 66 163 424 1409
728,672 66 163 424 1409
730,672 66 163 424 1409
759,672 66 163 424 1409
764,672 66 163 424 1409
780,672 66 163 424 1409
788,672 66 163 424 1409
794,672 66 163 424 1409
796,672 66 163 424 1409
810,672 66 163 424 1409
812,672 66 163 424 1409
818,672 66 163 424 1409
836,672 66 163 424 1409
841,672 66 163 424 1409
846,672 66 163 424 1409
865,672 66 163 424 1409
870,672 66 163 424 1409
871,672 66 163 424 1409
879,672 66 163 424 1409
883,672 66 163 424 1409
898,672 66 163 424 1409
901,672 66 163 424 1409
906,672 66 163 424 1409
912,672 66 163 424 1409
916,672 66 163 424 1409
926,672 66 163 424 1409
935,672 66 163 424 1409
945,672 66 163 424 1409
946,672 66 163 424 1409
957,672 66 163 424 1409
965,672 66 163 424 1409
968,672 66 163 424 1409
974,672 66 163 424 1409
990,672 66 163 424 1409
991,672 66 163 424 1409
1003,672 66 163 424 1409
1004,672 66 163 424 1409
1011,672 66 163 424 1409
1013,672 66 163 424 1409
1020,672 66 163 424 1409
1026,672 66 163 424 1409
1027,672 66 163 424 1409
1039,672 66 163 424 1409
1041,672 66 163 424 1409
1044,672 66 163 424 1409
1049,672 66 163 424 1409
1056,672 66 163 424 1409
1057,672 66 163 424 1409
1067,672 66 163 424 1409
1070,672 66 163 424 1409
1079,672 66 163 424 1409
1089,672 66 163 424 1409
1093,672 66 163 424 1409
1105,672 66 163 424 1409
1106,672 66 163 424 1409
1108,672 66 163 424 1409
1113,672 66 163 424 1409
1117,672 66 163 424 1409
1118,672 66 163 424 1409
1119,672 66 163 424 1409
1124,672 66 163 424 1409
1125,672 66 163 424 1409
1128,672 66 163 424 1409
1149,672 66 163 424 1409
1152,672 66 163 424 1409
1156,672 66 163 424 1409
1158,672 66 163 424 1409
1163,672 66 163 424 1409
1165,672 66 163 424 1409
1168,672 66 163 424 1409
1172,672 66 163 424 1409
1176,672 66 163 424 1409
1190,672 66 163 424 1409
1193,672 66 163 424 1409
1202,672 66 163 424 1409
1204,672 66 163 424 1409
1230,672 66 163 424 1409
1245,672 66 163 424 1409
1247,672 66 163 424 1409
1264,672 66 163 424 1409
1289,672 66 163 424 1409
1290,672 66 163 424 1409
1306,672 66 163 424 1409
1310,672 66 163 424 1409
1314,672 66 163 424 1409
1319,672 66 163 424 1409
1320,672 66 163 424 1409
1325,672 66 163 424 1409
1334,672 66 163 424 1409
1356,672 66 163 424 1409
1363,672 66 163 424 1409
1374,672 66 163 424 1409
1376,672 66 163 424 1409
1384,672 66 163 424 1409
1389,672 66 163 424 1409
1391,672 66 163 424 1409
1392,672 66 163 424 1409
1405,672 66 163 424 1409
1422,672 66 163 424 1409
1427,672 66 163 424 1409
1437,672 66 163 424 1409
1448,672 66 163 424 1409
1454,672 66 163 424 1409
1456,672 66 163 424 1409
1458,672 66 163 424 1409
1476,672 66 163 424 1409
1479,672 66 163 424 1409
1492,672 66 163 424 1409
1493,672 66 163 424 1409
1497,672 66 163 424 1409
1503,672 66 163 424 1409
1512,672 66 163 424 1409
1536,672 66 163 424 1409
1542,672 66 163 424 1409
1547,672 66 163 424 1409
1552,672 66 163 424 1409
1556,672 66 163 424 1409
1563,672 66 163 424 1409
1565,672 66 163 424 1409
1568,672 66 163 424 1409
1570,672 66 163 424 1409
1571,672 66 163 424 1409
1572,672 66 163 424 1409
1583,672 66 163 424 1409
1584,672 66 163 424 1409
1588,672 66 163 424 1409
1589,672 66 163 424 1409
1600,672 66 163 424 1409
1604,672 66 163 424 1409
1608,672 66 163 424 1409
1612,672 66 163 424 1409
1627,672 66 163 424 1409
1629,672 66 163 424 1409
1630,672 66 163 424 1409
1633,672 66 163 424 1409
1638,672 66 163 424 1409
1643,672 66 163 424 1409
1689,672 66 163 424 1409
1696,672 66 163 424 1409
1701,672 66 163 424 1409
1708,672 66 163 424 1409
1709,672 66 163 424 1409
1712,672 66 163 424 1409
1714,672 66 163 424 1409
1719,672 66 163 424 1409
1720,672 66 163 424 1409
1721,672 66 163 424 1409
1726,672 66 163 424 1409
1735,672 66 163 424 1409
1738,672 66 163 424 1409
1742,672 66 163 424 1409
1743,672 66 163 424 1409
1750,672 66 163 424 1409
1751,672 66 163 424 1409
1757,672 66 163 424 1409
1765,672 66 163 424 1409
1767,672 66 163 424 1409
1768,672 66 163 424 1409
1770,672 66 163 424 1409
1774,672 66 163 424 1409
1784,672 66 163 424 1409
1788,672 66 163 424 1409
1791,672 66 163 424 1409
1805,672 66 163 424 1409
1808,672 66 163 424 1409
1813,672 66 163 424 1409
1814,672 66 163 424 1409
1818,672 66 163 424 1409
1829,672 66 163 424 1409
1841,672 66 163 424 1409
1843,672 66 163 424 1409
1848,672 66 163 424 1409
1850,672 66 163 424 1409
1857,672 66 163 424 1409
1865,672 66 163 424 1409
1866,672 66 163 424 1409
1895,672 66 163 424 1409
1896,672 66 163 424 1409
1906,672 66 163 424 1409
1913,672 66 163 424 1409
1918,672 66 163 424 1409
1921,672 66 163 424 1409
1927,672 66 163 424 1409
1933,672 66 163 424 1409
1946,672 66 163 424 1409
1947,672 66 163 424 1409
1963,672 66 163 424 1409
1964,672 66 163 424 1409
1965,672 66 163 424 1409
1969,672 66 163 424 1409
1971,672 66 163 424 1409
1991,672 66 163 424 1409
1996,672 66 163 424 1409
2002,672 66 163 424 1409
2011,672 66 163 424 1409
2017,672 66 163 424 1409
2020,672 66 163 424 1409
2021,672 66 163 424 1409
2026,672 66 163 424 1409
2037,672 66 163 424 1409
2045,672 66 163 424 1409
2050,672 66 163 424 1409
2059,672 66 163 424 1409
2060,672 66 163 424 1409
2068,672 66 163 424 1409
2085,672 66 163 424 1409
2086,672 66 163 424 1409
2087,672 66 163 424 1409
2089,672 66 163 424 1409
2091,672 66 163 424 1409
2095,672 66 163 424 1409
2096,672 66 163 424 1409
2123,672 66 163 424 1409
2132,672 66 163 424 1409
2143,672 66 163 424 1409
2144,672 66 163 424 1409
2147,672 66 163 424 1409
2149,672 66 163 424 1409
2154,672 66 163 424 1409
2168,672 66 163 424 1409
2172,672 66 163 424 1409
2174,672 66 163 424 1409
2177,672 66 163 424 1409
2180,672 66 163 424 1409
2182,672 66 163 424 1409
2186,672 66 163 424 1409
2190,672 66 163 424 1409
2191,672 66 163 424 1409
2202,672 66 163 424 1409
2208,672 66 163 424 1409
2214,672 66 163 424 1409
2218,672 66 163 424 1409
2219,672 66 163 424 1409
2221,672 66 163 424 1409
2230,672 66 163 424 1409
2234,672 66 163 424 1409
2245,672 66 163 424 1409
2256,672 66 163 424 1409
2258,672 66 163 424 1409
2264,672 66 163 424 1409
2272,672 66 163 424 1409
2277,672 66 163 424 1409
2278,672 66 163 424 1409
2279,672 66 163 424 1409
2281,672 66 163 424 1409
2286,672 66 163 424 1409
2287,672 66 163 424 1409
2296,672 66 163 424 1409
2299,672 66 163 424 1409
2303,672 66 163 424 1409
2305,672 66 163 424 1409
2313,672 66 163 424 1409
2315,672 66 163 424 1409
2326,672 66 163 424 1409
2327,672 66 163 424 1409
2330,672 66 163 424 1409
2337,672 66 163 424 1409
2349,672 66 163 424 1409
2353,672 66 163 424 1409
2357,672 66 163 424 1409
2360,672 66 163 424 1409
2361,672 66 163 424 1409
2364,672 66 163 424 1409
2377,672 66 163 424 1409
2378,672 66 163 424 1409
2383,672 66 163 424 1409
2395,672 66 163 424 1409
2403,672 66 163 424 1409
2406,672 66 163 424 1409
2411,672 66 163 424 1409
2425,672 66 163 424 1409
2430,672 66 163 424 1409
2441,672 66 163 424 1409
2455,672 66 163 424 1409
2458,672 66 163 424 1409
2467,672 66 163 424 1409
2468,672 66 163 424 1409
2469,672 66 163 424 1409
2490,672 66 163 424 1409
2493,672 66 163 424 1409
2497,672 66 163 424 1409
2515,672 66 163 424 1409
2517,672 66 163 424 1409
2519,672 66 163 424 1409
2524,672 66 163 424 1409
2526,672 66 163 424 1409
2533,672 66 163 424 1409
2536,672 66 163 424 1409
2537,672 66 163 424 1409
2547,672 66 163 424 1409
2555,672 66 163 424 1409
2570,672 66 163 424 1409
2578,672 66 163 424 1409
2584,672 66 163 424 1409
2592,672 66 163 424 1409
2603,672 66 163 424 1409
2607,672 66 163 424 1409
2617,672 66 163 424 1409
2620,672 66 163 424 1409
2621,672 66 163 424 1409
2625,672 66 163 424 1409
2634,672 66 163 424 1409
2640,672 66 163 424 1409
2654,672 66 163 424 1409
2671,672 66 163 424 1409
2677,672 66 163 424 1409
2682,672 66 163 424 1409
2690,672 66 163 424 1409
2693,672 66 163 424 1409
2707,672 66 163 424 1409
2708,672 66 163 424 1409
2711,672 66 163 424 1409
2729,672 66 163 424 1409
2736,672 66 163 424 1409
2737,672 66 163 424 1409
2738,672 66 163 424 1409
2740,672 66 163 424 1409
2742,672 66 163 424 1409
2761,672 66 163 424 1409
2782,672 66 163 424 1409
2784,672 66 163 424 1409
2785,672 66 163 424 1409
2786,672 66 163 424 1409
2797,672 66 163 424 1409
2804,672 66 163 424 1409
2813,672 66 163 424 1409
2819,672 66 163 424 1409
2824,672 66 163 424 1409
2832,672 66 163 424 1409
2833,672 66 163 424 1409
2838,672 66 163 424 1409
2854,672 66 163 424 1409
2856,672 66 163 424 1409
2861,672 66 163 424 1409
2862,672 66 163 424 1409
2864,672 66 163 424 1409
2875,672 66 163 424 1409
2905,672 66 163 424 1409
2911,672 66 163 424 1409
2914,672 66 163 424 1409
2918,672 66 163 424 1409
2925,672 66 163 424 1409
2932,672 66 163 424 1409
2935,672 66 163 424 1409
2937,672 66 163 424 1409
2947,672 66 163 424 1409
