user_id,categories
8,1079 429 755 103 672     
12,1898 672 66 163 424      
27,200 672 66 163 424       
39,2138 672 66 163 424      
40,2273 672 66 163 424      
45,431 1407 672 66 163      
57,2096 672 66 163 424      
67,163 672 66 424 134       
68,1821 1826 672 66 163     
70,135 237 672 66 163       
75,1948 1105 672 66 163     
77,486 2115 1215 672 66     
86,672 2193 2104 1241 66    
96,547 672 66 163 424       
100,2081 2178 672 66 163     
109,1088 672 1351 66 163     
113,688 1141 1180 672 66     
131,1445 1826 1931 1939 672  
133,197 672 66 163 424       
138,1335 672 66 163 424      
140,672 1870 830 775 65      
146,2377 672 66 163 424      
148,818 672 66 163 424       
151,1039 672 66 163 424      
153,129 672 66 163 424       
156,672 66 163 424 134       
163,56 672 66 163 424        
172,1488 66 672 163 424      
198,819 672 66 163 424       
202,672 66 163 424 134       
205,1078 672 66 163 424      
210,1823 672 66 163 424      
225,53 672 66 163 424        
233,1505 672 66 163 424      
243,911 672 66 163 424       
255,784 672 66 163 424       
256,1284 1103 672 66 163     
257,672 66 163 424 134       
263,1329 672 66 163 424      
265,493 672 66 163 424       
267,1283 937 672 66 163      
268,2040 672 66 163 424      
269,1509 672 66 163 424      
271,2060 672 66 163 424      
272,127 672 66 163 424       
275,130 672 66 163 424       
277,672 66 163 424 134       
288,103 672 66 163 424       
289,784 672 66 163 424       
290,1892 2516 672 66 163     
300,504 1956 672 66 163      
301,196 672 66 163 424       
308,695 672 66 163 424       
309,120 1039 452 678 766     
313,1188 424 103 473 672     
320,163 672 66 424 134       
325,2344 672 66 163 424      
328,1952 672 66 163 424      
334,937 672 66 163 424       
336,66 672 163 424 134       
345,1899 553 968 1201 672    
346,127 672 66 163 424       
348,1006 672 66 163 424      
352,677 672 66 163 424       
354,193 78 2187 672 66       
355,770 672 66 163 424       
356,918 2431 2242 672 66     
372,672 66 163 424 134       
374,433 672 66 163 424       
383,302 672 66 163 424       
391,1640 1144 1302 2373 253  
392,66 672 163 424 134       
393,2015 672 66 163 424      
395,1183 1050 672 66 163     
404,1765 160 948 672 66      
414,120 672 66 163 424       
420,950 672 66 163 424       
428,1065 1136 1121 672 66    
435,253 672 66 163 424       
445,2009 672 66 163 424      
452,1948 672 66 163 424      
459,672 66 163 424 134       
470,553 672 66 163 424       
480,1887 672 66 163 424      
482,2265 440 672 66 163      
490,1620 672 66 163 424      
495,163 672 66 424 134       
501,784 995 2339 1952 672    
508,936 672 66 163 424       
522,1253 672 66 163 424      
523,130 672 66 163 424       
525,171 672 66 163 424       
527,2009 672 66 163 424      
537,1366 672 66 163 424      
538,672 160 66 163 424       
543,2544 672 66 163 424      
546,672 424 105 427 66       
551,162 672 66 163 424       
552,911 124 757 672 66       
569,200 818 672 66 163       
576,113 672 66 163 424       
582,838 672 66 163 424       
585,2311 672 66 163 424      
588,90 672 66 163 424        
589,2009 672 66 163 424      
594,49 672 66 163 424        
595,2021 452 470 672 66      
598,192 672 66 163 424       
603,672 66 163 424 134       
612,771 672 66 163 424       
617,672 66 163 424 134       
618,1560 672 66 163 424      
622,177 750 163 784 753      
640,1956 672 66 163 424      
641,237 672 66 163 424       
664,851 672 66 163 424       
668,1021 672 66 163 424      
671,1666 66 672 163 424      
673,135 170 1424 2173 1166   
685,2002 672 66 163 424      
688,665 672 66 163 424       
702,981 672 66 163 424       
715,1907 672 66 163 424      
719,1766 480 134 672 66      
722,672 66 163 424 134       
725,789 672 66 163 424       
728,163 672 66 424 134       
730,1488 428 1080 462 672    
759,951 672 66 163 424       
764,1142 771 486 2208 672    
780,434 672 1244 66 163      
788,672 1040 450 124 66      
794,424 498 672 66 163       
796,1024 672 66 163 424      
810,1376 2559 2553 672 66    
812,1634 672 66 163 424      
818,1409 163 459 1328 793    
836,1107 672 66 163 424      
841,826 672 66 163 424       
846,1365 678 672 66 163      
865,672 66 163 424 134       
870,127 672 66 163 424       
871,1167 1470 672 66 163     
879,695 672 66 163 424       
883,103 672 66 163 424       
898,422 672 66 163 424       
901,160 672 66 163 424       
906,66 672 163 424 134       
912,784 789 2419 672 66      
916,770 672 66 163 424       
926,938 493 672 66 163       
935,120 672 66 163 424       
945,672 2260 1064 1938 440   
946,163 672 66 424 134       
957,277 672 66 163 424       
965,2020 672 66 163 424      
968,672 66 163 424 134       
974,672 66 163 424 134       
990,1138 672 66 163 424      
991,1619 672 66 163 424      
1003,1136 672 66 163 424      
1004,672 66 163 424 134       
1011,1107 1075 672 66 163     
1013,672 66 163 424 134       
1020,440 2183 873 2081 894    
1026,480 672 66 163 424       
1027,1077 672 66 163 424      
1039,1107 672 66 163 424      
1041,198 672 66 163 424       
1044,459 672 66 163 424       
1049,1245 672 66 163 424      
1056,1193 672 66 163 424      
1057,160 672 66 163 424       
1067,911 672 66 163 424       
1070,962 672 66 163 424       
1079,672 66 163 424 134       
1089,200 672 66 163 424       
1093,221 672 66 163 424       
1105,904 672 66 163 424       
1106,672 66 163 424 134       
1108,905 145 672 66 163       
1113,138 672 66 163 424       
1117,1190 672 66 163 424      
1118,1758 672 66 163 424      
1119,56 672 66 163 424        
1124,882 672 66 163 424       
1125,134 672 66 163 424       
1128,1666 1637 341 1662 1656  
1149,237 672 66 163 424       
1152,120 672 66 163 424       
1156,750 126 672 66 163       
1158,1411 672 66 163 424      
1163,1136 672 66 163 424      
1165,424 672 66 163 134       
1168,237 672 66 163 424       
1172,672 66 163 424 134       
1176,672 66 163 424 134       
1190,2273 672 66 163 424      
1193,1171 672 66 163 424      
1202,672 66 163 424 134       
1204,826 672 66 163 424       
1230,882 672 66 163 424       
1245,1370 452 438 672 66      
1247,674 2016 1340 672 66     
