user_id,categories
8,1079 429 672 755 66      
12,672 1898 66 163 424      
27,672 200 66 163 424       
39,672 2138 66 163 424      
40,672 2273 66 163 424      
45,672 431 66 1407 163      
57,672 2096 66 163 424      
67,163 672 66 424 134       
68,1821 672 1826 66 163     
70,135 672 237 66 163       
75,672 1948 1105 66 163     
77,672 486 2115 1215 66     
86,672 2193 2104 1241 66    
96,672 547 66 163 424       
100,672 2081 2178 66 163     
109,672 1088 1351 66 163     
113,688 672 1141 1180 66     
131,672 1445 1826 1931 66    
133,672 197 66 163 424       
138,1335 672 66 163 424      
140,672 1870 830 775 65      
146,672 2377 66 163 424      
148,672 818 66 163 424       
151,672 1039 66 163 424      
153,129 672 66 163 424       
156,672 66 163 424 134       
163,672 56 66 163 424        
172,672 1488 66 163 424      
198,672 819 66 163 424       
202,672 66 163 424 134       
205,672 1078 66 163 424      
210,672 1823 66 163 424      
225,672 53 66 163 424        
233,672 1505 66 163 424      
243,911 672 66 163 424       
255,784 672 66 163 424       
256,672 1284 1103 66 163     
257,672 66 163 424 134       
263,672 1329 66 163 424      
265,672 493 66 163 424       
267,1283 672 66 937 163      
268,2040 672 66 163 424      
269,672 1509 66 163 424      
271,672 2060 66 163 424      
272,127 672 66 163 424       
275,672 130 66 163 424       
277,672 66 163 424 134       
288,672 103 66 163 424       
289,672 784 66 163 424       
290,672 1892 66 2516 163     
300,672 504 66 163 424       
301,672 196 66 163 424       
308,695 672 66 163 424       
309,120 1039 452 672 678     
313,672 424 1188 103 66      
320,672 163 66 424 134       
325,2344 672 66 163 424      
328,672 1952 66 163 424      
334,672 937 66 163 424       
336,66 672 163 424 134       
345,1899 553 672 968 1201    
346,672 127 66 163 424       
348,1006 672 66 163 424      
352,672 677 66 163 424       
354,193 672 78 2187 66       
355,672 770 66 163 424       
356,672 918 2431 2242 66     
372,672 66 163 424 134       
374,672 433 66 163 424       
383,672 302 66 163 424       
391,1640 672 1144 1302 253   
392,672 66 163 424 134       
393,672 2015 66 163 424      
395,1183 672 1050 66 163     
404,672 1765 160 948 66      
414,120 672 66 163 424       
420,672 950 66 163 424       
428,1065 672 1136 1121 66    
435,672 253 66 163 424       
445,672 2009 66 163 424      
452,1948 672 66 163 424      
459,672 66 163 424 134       
470,672 553 66 163 424       
480,1887 672 66 163 424      
482,672 2265 440 66 163      
490,1620 672 66 163 424      
495,672 163 66 424 134       
501,784 672 995 2339 1952    
508,672 936 66 163 424       
522,672 1253 66 163 424      
523,672 130 66 163 424       
525,171 672 66 163 424       
527,672 2009 66 163 424      
537,672 1366 66 163 424      
538,672 160 66 163 424       
543,2544 672 66 163 424      
546,672 424 105 427 66       
551,162 672 66 163 424       
552,911 124 757 672 66       
569,200 672 818 66 163       
576,672 113 66 163 424       
582,838 672 66 163 424       
585,672 2311 66 163 424      
588,672 90 66 163 424        
589,672 2009 66 163 424      
594,672 49 66 163 424        
595,672 2021 452 470 66      
598,672 192 66 163 424       
603,672 66 163 424 134       
612,771 672 66 163 424       
617,672 66 163 424 134       
618,672 1560 66 163 424      
622,672 163 177 750 66       
640,1956 672 66 163 424      
641,672 237 66 163 424       
664,851 672 66 163 424       
668,672 1021 66 163 424      
671,1666 672 66 163 424      
673,135 170 672 1424 2173    
685,2002 672 66 163 424      
688,672 665 66 163 424       
702,672 981 66 163 424       
715,672 1907 66 163 424      
719,1766 480 672 134 66      
722,672 66 163 424 134       
725,672 789 66 163 424       
728,672 163 66 424 134       
730,672 1488 428 1080 462    
759,672 951 66 163 424       
764,672 1142 771 486 2208    
780,672 434 1244 66 163      
788,672 1040 450 66 124      
794,672 424 66 163 498       
796,1024 672 66 163 424      
810,672 1376 2559 2553 66    
812,672 1634 66 163 424      
818,1409 163 459 672 1328    
836,1107 672 66 163 424      
841,672 826 66 163 424       
846,672 1365 678 66 163      
865,672 66 163 424 134       
870,127 672 66 163 424       
871,672 1167 1470 66 163     
879,695 672 66 163 424       
883,103 672 66 163 424       
898,672 422 66 163 424       
901,672 160 66 163 424       
906,66 672 163 424 134       
912,784 672 789 2419 66      
916,672 770 66 163 424       
926,672 938 493 66 163       
935,672 120 66 163 424       
945,672 2260 1064 1938 440   
946,672 163 66 424 134       
957,672 277 66 163 424       
965,672 2020 66 163 424      
968,672 66 163 424 134       
974,672 66 163 424 134       
990,672 1138 66 163 424      
991,672 1619 66 163 424      
1003,672 1136 66 163 424      
1004,672 66 163 424 134       
1011,672 1107 66 1075 163     
1013,672 66 163 424 134       
1020,440 2183 672 873 2081    
1026,672 480 66 163 424       
1027,672 1077 66 163 424      
1039,672 1107 66 163 424      
1041,198 672 66 163 424       
1044,672 459 66 163 424       
1049,1245 672 66 163 424      
1056,672 1193 66 163 424      
1057,672 160 66 163 424       
1067,911 672 66 163 424       
1070,672 962 66 163 424       
1079,672 66 163 424 134       
1089,672 200 66 163 424       
1093,672 221 66 163 424       
1105,904 672 66 163 424       
1106,672 66 163 424 134       
1108,672 905 145 66 163       
1113,138 672 66 163 424       
1117,672 1190 66 163 424      
1118,1758 672 66 163 424      
1119,672 56 66 163 424        
1124,672 882 66 163 424       
1125,672 134 66 163 424       
1128,672 1666 1637 341 1662   
1149,672 237 66 163 424       
1152,672 120 66 163 424       
1156,750 126 672 66 163       
1158,672 1411 66 163 424      
1163,1136 672 66 163 424      
1165,672 424 66 163 134       
1168,672 237 66 163 424       
1172,672 66 163 424 134       
1176,672 66 163 424 134       
1190,672 2273 66 163 424      
1193,1171 672 66 163 424      
1202,672 66 163 424 134       
1204,672 826 66 163 424       
1230,672 882 66 163 424       
1245,1370 672 452 438 66      
1247,674 672 2016 1340 66     
1264,672 826 66 163 424       
1289,672 755 66 163 424       
1290,1953 672 1046 66 163     
1306,103 672 66 1658 163      
