user_id,categories
8,1409 134 108 429 755
12,1898 0 1764 1765 176
27,200 0 1765 1766 1767
39,2138 160 0 1765 1766
40,2273 0 1765 1766 176
45,1407 431 0 1765 1766
57,2096 0 1765 1766 176
67,163 1404 0 1764 1765
68,1821 1826 0 1764 176
70,135 2173 873 163 204
75,1105 1948 672 1766 1
77,431 486 1215 2115 17
86,1351 672 1086 2193 1
96,103 547 1766 1767 17
100,124 2178 804 1321 20
109,672 1088 440 422 135
113,20 1138 2124 1201 11
131,1445 435 1826 1931 1
133,197 0 1765 1766 1767
138,1335 0 1765 1766 176
140,1353 672 1870 775 83
146,134 2377 1765 1766 1
148,2100 818 0 1766 1767
151,1039 0 1765 1766 176
153,129 0 1765 1766 1767
156,672 0 1765 1766 1767
163,127 56 0 1766 1767
172,1488 66 0 1764 1765
198,2286 819 822 1766 17
202,672 0 1765 1766 1767
205,1821 1078 1473 1763 
210,110 1823 1765 1766 1
225,2124 53 1765 1766 17
233,1505 0 1765 1766 176
243,911 1764 1765 1766 1
255,784 0 1765 1766 1767
256,1284 1103 1765 1766 
257,495 1409 672 1765 10
263,1329 0 1765 1766 176
265,493 0 1765 1766 1767
267,1283 937 1765 1766 1
268,2040 82 1764 1765 17
269,1509 0 1765 1766 176
271,1434 2060 0 1766 176
272,127 0 1765 1766 1767
275,2107 866 130 0 1767
277,672 0 1765 1766 1767
288,103 1764 1765 1766 1
289,784 672 0 1766 1767
290,1892 2516 0 1766 176
300,504 1956 0 1765 1766
301,196 1765 1766 1767 1
308,695 0 1765 1766 1767
309,120 452 1039 766 678
313,101 1188 103 424 473
320,163 1765 1766 1767 1
325,2344 0 1764 1765 176
328,1952 0 1765 1766 176
334,937 0 1765 1766 1767
336,66 0 1764 1765 1766
345,553 1899 1201 968 67
346,127 0 1765 1766 1767
348,1006 0 1765 1766 176
352,677 0 1765 1766 1767
354,78 193 2329 2187 0
355,450 1646 770 0 1766
356,918 2431 2242 0 1763
372,672 0 1765 1766 1767
374,433 0 1763 1764 1765
383,302 0 1765 1766 1767
391,199 1634 253 1640 14
392,66 0 1764 1765 1766
393,2015 0 1765 1766 176
395,1183 1050 0 1765 176
404,1465 948 160 1765 0
414,120 0 1765 1766 1767
420,950 0 1765 1766 1767
428,1065 1121 1136 0 176
435,1064 444 253 1764 17
445,2009 0 1764 1765 176
452,1948 1952 1764 1765 
459,672 0 1765 1766 1767
470,553 0 1765 1766 1767
480,2092 784 1887 2088 0
482,112 2265 138 440 0
490,1620 0 1765 1766 176
495,830 163 159 1767 176
501,995 1442 864 116 672
508,785 936 1765 1766 17
522,1253 1266 1764 1765 
523,459 1284 231 462 130
525,171 0 1765 1766 1767
527,2009 0 1764 1765 176
537,1366 0 1765 1766 176
538,672 160 0 1766 1767
543,2544 0 1765 1766 176
546,427 672 2108 433 424
551,162 0 1765 1766 1767
552,827 1355 911 750 756
569,200 818 0 1766 1767
576,2568 113 1765 1766 1
582,838 114 0 1766 1767
585,2311 1765 1766 1767 
588,90 0 1764 1765 1766
589,2009 0 1764 1765 176
594,553 49 0 1766 1767
595,452 470 2021 0 1767
598,192 672 0 1766 1767
603,672 0 1765 1766 1767
612,771 0 1765 1766 1767
617,672 422 424 674 1767
618,1560 1749 0 1765 176
622,749 751 750 1238 233
640,1956 1455 2452 0 176
641,237 1764 1765 1766 1
664,851 0 1764 1765 1766
668,456 1021 1766 1767 1
671,66 1666 2485 0 1765
673,134 1562 170 2036 14
685,2002 0 1765 1766 176
688,665 0 1765 1766 1767
702,2003 1892 981 0 1764
715,1907 1764 1765 1766 
719,672 480 1766 475 882
722,424 103 1340 1765 24
725,1605 1514 789 672 12
728,163 1765 1766 1767 1
730,1080 428 1488 462 21
759,951 1764 1765 1766 1
764,2108 771 486 2208 11
780,672 434 1244 1746 17
788,108 237 672 1040 124
794,492 424 498 2231 130
796,1024 0 1765 1766 176
810,1376 2553 2559 0 176
812,2473 641 2135 1307 6
818,1171 163 459 1409 13
836,1107 0 1765 1766 176
841,826 0 1765 1766 1767
846,1365 678 0 1766 1767
865,672 0 1765 1766 1767
870,127 0 1765 1766 1767
871,1470 1167 0 1765 176
879,695 0 1765 1766 1767
883,103 1764 1765 1766 1
898,422 0 1764 1765 1766
901,160 0 1765 1766 1767
906,66 0 1764 1765 1766
912,1944 784 2419 789 17
916,770 0 1765 1766 1767
926,493 938 0 1766 1767
935,120 0 1765 1766 1767
945,424 672 1245 452 109
946,163 1765 1766 1767 1
957,277 0 1765 1766 1767
965,433 427 480 479 2020
968,672 827 0 1766 1767
974,1245 1401 672 1037 8
990,672 1138 1765 1766 1
991,1184 1619 2399 1193 
1003,1136 0 1765 1766 176
1004,672 0 1765 1766 1767
1011,1075 1107 1764 1765 
1013,672 0 1765 1766 1767
1020,440 2183 873 672 894
1026,480 0 1765 1766 1767
1027,1077 1764 1765 1766 
1039,1107 0 1765 1766 176
1041,198 0 1765 1766 1767
1044,459 0 1765 1766 1767
