category_id,parent_category_id,product_count,offer_count,shop_count
3,3,\N,7972,444
4,3,\N,9,7
5,4,\N,224,143
6,5,14434,235543,2156
7,5,\N,20019,1685
8,5,\N,45075,1837
9,5,\N,53491,1855
10,5,1604,20390,1493
11,1918,\N,289,51
12,4,\N,141,64
13,12,\N,20779,772
14,12,\N,10327,1359
15,12,\N,26251,945
16,12,\N,11127,272
17,12,\N,895,67
18,12,\N,1141,90
19,4,\N,889,200
20,2063,\N,81865,944
21,19,\N,373409,401
22,19,\N,120231,478
23,19,\N,119030,347
24,19,\N,215706,922
25,19,\N,32802,258
26,2062,\N,47144,288
27,19,\N,45439,256
28,19,\N,216903,289
29,2061,\N,23163,875
30,19,\N,14137,202
31,2062,\N,53376,356
32,19,\N,40737,296
33,19,\N,523731,400
34,19,\N,12645,317
35,19,\N,98968,257
36,4,\N,18,17
37,36,\N,3804,601
38,36,\N,27073,355
39,36,\N,73,42
40,36,\N,59936,1446
41,36,\N,2446,371
42,4,\N,272,190
43,1916,882,106385,2507
44,2293,\N,105384,2285
45,19,\N,21053,725
46,2060,\N,79862,1516
47,2061,\N,947,361
48,2064,\N,9802,976
49,1916,\N,30312,1422
50,42,\N,101401,675
51,2060,\N,354307,787
52,1286,\N,16743,522
53,2303,\N,234229,613
54,2060,\N,31236,986
55,4,\N,147,110
56,55,10464,245990,1362
57,55,\N,34444,593
58,55,\N,15220,540
59,55,\N,4285,322
60,55,\N,10719,621
61,55,\N,10891,711
62,55,\N,4792,481
63,55,\N,4269,478
64,55,\N,2983,401
65,55,\N,18481,1291
66,1917,81656,3983863,1249
67,4,\N,4,3
68,67,\N,1710,143
69,67,\N,1464,78
70,1918,\N,1852,63
71,4,\N,30,13
72,2293,\N,128098,909
73,3,\N,6,5
74,1814,\N,4719,344
75,1814,\N,50358,436
76,1814,\N,53611,427
77,1814,\N,48,43
78,77,\N,16945,375
79,77,\N,2582,267
80,77,\N,19809,491
81,73,\N,\N,\N
82,81,\N,18215,68
83,81,\N,764,53
84,81,\N,161137,213
85,81,\N,6583,628
86,81,\N,10917,486
87,1814,\N,1071,165
88,1814,\N,254,124
89,88,\N,16296,1799
90,88,435,29577,1480
91,1814,\N,11385,452
92,236,\N,9513,5
93,1909,\N,208,78
94,93,2796,57619,2215
95,1093,1196,65362,1885
96,1093,1417,81050,2245
97,93,\N,208,25
98,93,12689,249447,2261
99,93,1727,17275,1224
100,93,\N,4335,660
101,93,\N,76956,2381
102,93,4318,87947,1892
103,1093,11448,809403,3804
104,1093,1223,31131,2158
105,1093,6704,116812,2319
106,93,694,22188,1556
107,900,\N,35,35
108,107,7119,418541,3326
109,118,3805,58084,2527
110,107,10801,407417,2210
111,1085,3438,160748,2829
112,107,4512,289221,2665
113,1085,7103,405001,2671
114,1085,1073,107737,2297
115,107,\N,22,22
116,107,\N,18779,1586
117,1085,\N,4101,1351
118,900,\N,4,3
119,118,7819,369708,2899
120,118,13775,389222,3210
121,118,18011,227144,2612
122,900,\N,515,5
123,1914,9651,572089,2155
124,1914,24032,900931,2285
125,107,4481,106719,2841
126,1914,5211,212279,2093
127,2065,8069,554681,2870
128,2068,463,8262,1729
129,2066,1240,161328,2521
130,2065,3756,190637,2915
131,2066,1053,93144,2489
132,2067,1140,96436,2429
133,122,1458,93364,2561
134,1914,18337,768633,2281
135,2067,4878,340963,2688
136,2066,\N,10588,1830
137,2065,697,53327,2300
138,2065,1667,123390,2602
139,2067,606,44187,2324
140,2066,1362,94379,2574
141,2068,640,20187,2330
142,122,\N,29142,2416
143,122,\N,10893,1534
144,901,\N,4,4
145,1927,\N,50848,916
146,2055,\N,70303,689
147,144,\N,406,251
148,144,2540,149520,2061
149,2055,\N,978,117
150,2055,\N,4573,857
151,147,5811,166920,2464
152,144,676,20168,1512
153,147,\N,28558,1262
154,144,2955,75587,2241
155,1909,\N,4203,314
156,155,\N,196874,3129
157,155,\N,31216,2568
158,155,\N,301770,3320
159,1909,5057,52397,2177
160,144,2386,61408,2858
161,1909,1519,23754,1916
162,1909,\N,21085,1887
163,1909,22003,531303,2564
164,3,\N,9,7
165,164,\N,6,3
167,165,\N,82744,1232
168,165,\N,70948,817
169,2177,\N,93246,386
170,2042,\N,76869,1361
171,2043,\N,282527,1373
172,1452,\N,17443,248
173,1452,\N,11322,357
174,1357,\N,4,3
175,1357,\N,12,6
176,1452,\N,3649,143
177,1452,\N,98900,441
178,1452,\N,14333,324
179,164,\N,7,6
182,2321,\N,37866,1655
183,179,\N,21284,811
184,179,\N,30080,1716
185,2321,\N,10356,908
186,164,\N,125,5
187,1460,\N,57058,1630
188,1459,\N,266276,2310
189,186,\N,107121,2477
190,1459,\N,34551,1713
191,2142,\N,16468,1608
192,1459,\N,139945,2456
193,2243,\N,54776,1431
194,215,\N,13280,1011
195,164,\N,74,74
196,195,\N,662205,939
197,195,\N,1667606,1066
198,195,\N,288932,2199
199,195,\N,37736,2348
200,195,\N,226120,2593
201,164,\N,4,4
202,2177,\N,74364,278
203,201,\N,425423,1390
204,2177,\N,17424,208
205,164,\N,908,20
206,1301,7938,127198,2052
207,1301,\N,99216,1640
208,3,\N,2,2
209,208,\N,2776,11
210,209,\N,35550,1281
211,209,\N,26289,1054
212,209,\N,19200,946
213,209,\N,63236,1187
214,208,\N,17,10
215,208,\N,2,2
218,215,\N,8908,388
219,1922,\N,16762,1229
220,1922,\N,12762,566
221,215,\N,19571,598
222,215,\N,26256,1043
223,215,\N,3542,413
224,215,\N,3404,594
225,215,\N,41518,584
226,232,\N,114,106
227,215,\N,28574,700
228,2550,6785,26096,562
229,215,\N,13623,372
230,215,\N,20416,417
231,862,\N,35135,514
232,3,\N,3,3
233,232,\N,987,18
234,1999,64110,243726,1192
235,2381,6319,29492,970
236,232,\N,26,13
237,1981,6789,360874,1095
238,1127,11364,53821,924
239,1983,2322,135754,862
241,3,\N,544,1
242,241,\N,25,1
243,242,\N,12104,22
244,242,\N,1966,12
245,242,\N,6813,86
246,242,\N,2166,12
247,242,\N,501,13
248,3,\N,26,12
249,164,\N,1,1
250,249,\N,4091,97
251,249,\N,1547,69
252,249,\N,421,23
253,241,\N,2421962,265
254,253,\N,2520,16
255,254,\N,1,1
256,254,\N,\N,\N
257,254,\N,\N,\N
258,254,\N,49,9
259,254,\N,\N,\N
260,254,\N,3,3
261,254,\N,23,1
262,254,\N,\N,\N
263,254,\N,\N,\N
264,254,\N,\N,\N
265,254,\N,40,24
266,254,\N,2,2
267,254,\N,\N,\N
268,254,\N,\N,\N
269,254,\N,151,5
270,254,\N,25,4
271,254,\N,\N,\N
272,254,\N,8,1
273,254,\N,1,1
274,254,\N,\N,\N
275,253,\N,51785,94
276,275,\N,1891,49
277,275,\N,11180,129
278,275,\N,10494,49
279,275,\N,531,34
280,275,\N,4080,46
281,275,\N,3574,69
282,275,\N,731,49
283,275,\N,1147,44
284,275,\N,9203,124
285,275,\N,3350,66
286,275,\N,815,113
287,275,\N,4404,53
288,275,\N,495,40
289,275,\N,110,25
290,253,\N,1336,47
291,290,\N,629,25
292,290,\N,190,20
293,290,\N,128,14
294,290,\N,710,27
295,290,\N,214,19
296,290,\N,57,13
297,290,\N,590,36
298,290,\N,3,3
299,290,\N,405,26
300,290,\N,433,19
301,290,\N,112,18
302,253,\N,50336,44
303,302,\N,53947,66
304,302,\N,150,22
305,302,\N,500,21
306,302,\N,195,20
307,253,\N,2991,66
308,307,\N,99,20
309,307,\N,290,30
310,307,\N,152,24
311,307,\N,2752,45
312,307,\N,24,9
313,307,\N,23,13
314,307,\N,445,31
315,307,\N,1508,43
316,307,\N,228,27
317,307,\N,3,2
318,307,\N,1121,48
319,307,\N,142,19
320,307,\N,43,14
321,307,\N,30,10
322,307,\N,86,17
323,307,\N,19,9
324,253,\N,942,42
325,324,\N,60,18
326,324,\N,457,30
327,324,\N,776,22
328,324,\N,147,21
329,324,\N,58,12
330,324,\N,94,17
331,324,\N,259,23
332,324,\N,113,22
333,253,\N,5993,60
334,333,\N,919,48
335,333,\N,188,23
