shop_id,offer_count,rating
0,35557,5
2,33325,4
4,13586,4
5,27100,5
6,5215,4
7,13964,5
8,452,4
9,61322,5
10,20680,5
11,178862,5
12,24655,5
13,1082,5
14,456,4
15,205,4
17,5836,3
18,1209,2
19,1848,4
20,5,4
21,27513,5
22,1181,3
23,217,2
24,6463,4
25,5703,5
26,1796,3
27,19121,4
28,10224,5
29,663,5
30,2457,4
31,569,4
33,19539,4
34,141,3
35,3325,4
36,1133,5
37,425,4
38,1315,5
40,7242,5
41,8671,5
42,42988,5
43,688,5
44,557,4
45,6650,4
46,14109,5
47,26,4
48,25,4
49,1385,4
50,2751,4
51,3649,4
52,152,4
53,1198,5
54,57497,4
55,25246,5
56,759513,4
57,10042,5
58,11488,5
59,4134,5
60,4377,3
61,592,4
62,17822,5
63,317,3
64,59387,4
65,57370,5
66,11325,4
67,285,4
68,94328,5
69,232,4
70,193,4
71,164,4
72,23961,5
73,4674,4
74,304,4
75,1350,5
76,177,4
77,27,3
79,3381,5
81,4588,5
82,364,4
83,220047,3
86,1944,5
87,2567,2
89,2630,4
90,783,4
91,108319,5
93,234,4
94,27648,4
95,942,5
96,6280,5
97,2149,4
98,600,4
99,10022,4
100,1517,4
101,4182,4
103,149,4
104,7736,5
106,74,5
107,3611,4
108,671,4
109,8920,4
110,6218,4
111,4102,5
112,2,4
113,3409,3
114,4697,5
115,1017,5
116,4439,4
117,184,3
118,103,4
120,276,2
121,752,4
124,3388,3
125,188,5
126,9247,5
128,250,4
129,11982,4
130,9,4
131,944,4
134,10646,3
135,15,4
138,813,4
139,27285,3
140,15482,4
142,4339,5
143,386,1
144,23,4
145,567,5
146,27,4
147,2875,3
148,184,4
149,3610,4
150,4915,4
151,36,4
152,1928,4
154,828,5
155,1938,5
157,14576,5
158,169,4
159,202,4
160,197,4
161,3100,4
162,4606,4
163,143124,4
164,1525,2
165,2121,4
166,1227,5
167,1168,4
168,79,4
169,1596,4
170,1294,2
171,1261,5
172,726,4
173,14070,4
174,17368,5
175,102,4
176,2702,4
177,2,4
178,8033,5
179,2477,5
180,112268,5
181,1183,4
182,15113,5
184,9350,3
186,449,4
187,2696,4
188,6232,4
189,3255,4
191,6555,5
192,6538,4
193,6,4
194,613,5
195,1670,5
196,4864,4
197,27,4
198,21340,5
199,2836,3
200,6189,5
201,12651,5
202,661,5
204,3389,5
205,1990,4
207,8016,4
208,12610,5
209,3478,3
210,954,4
211,6613,5
212,12500,3
213,4615,5
214,4084,3
215,151,3
216,54,4
217,4796,4
218,673,4
221,2761,5
222,13654,5
223,574,1
224,9270,3
225,40,5
226,62,4
227,2968,3
228,672,5
229,296,4
230,47,4
231,5456,5
232,213,4
233,22,4
234,1571,5
235,4825,3
236,7584,2
237,1037,4
238,4816,5
239,130,4
240,91,4
242,56969,5
243,155,1
244,5858,5
245,9638,4
246,4946,5
247,85,4
248,56168,2
249,1753,4
250,302,5
251,269,4
252,832,5
253,97,5
254,25928,5
255,3140,4
256,1514,4
257,226,3
258,874,3
259,9422,5
260,636,5
261,10,2
262,1334,4
263,47,3
264,8875,4
265,395,4
267,3902,4
268,1044,2
269,3447,4
270,446,5
271,472,4
272,4884,4
273,777,4
274,110,4
275,1799,3
276,110,4
277,2035,3
278,11754,5
279,807,5
280,376,4
282,14,4
283,3351,4
284,360,4
285,947,5
287,1657,4
288,2099,5
289,19,4
290,990,4
291,680,4
292,378,4
293,13692,5
294,218,4
295,611,5
296,38,4
297,76,4
299,1120,4
300,13050,2
302,3954,4
303,639,4
304,1274,4
305,491,3
306,124,4
307,34341,5
308,2027,3
309,44253,5
310,2657,5
311,1251,4
312,263,5
314,784,4
315,46,5
316,5659,5
317,363,4
319,8671,5
322,415,4
323,1562,3
324,517,4
326,586,4
328,4954,4
329,18,5
330,2531,4
331,80,4
332,445,5
334,27025,5
337,41697,4
338,56343,4
339,478,4
340,1403,4
341,36937,4
342,133,4
343,5478,5
344,15703,5
345,1775,5
346,7000,5
347,13029,5
348,1126,4
349,7464,5
351,6014,4
352,2429,5
353,204,4
354,79,4
355,37,4
356,164,4
357,403,4
359,3524,4
360,1693,5
362,5,4
363,88,4
364,6580,5
365,857,4
366,6031,5
367,437,5
368,727,5
369,37530,4
370,1811,4
371,269,2
373,109082,4
374,4428,5
375,29,4
376,883,4
377,302,5
378,2,4
379,6948,5
380,1129,4
381,1048,4
382,58424,5
383,85,2
384,108689,5
385,1,4
386,26293,5
387,114,3
388,13293,5
389,659,4
390,198,5
391,3073,4
393,1427,4
394,6077,5
395,20,4
397,1063,4
398,4467,4
399,13536,4
400,693,4
401,1530,2
403,148,3
404,52,3
405,1256,4
406,50804,5
407,6506,4
409,6108,4
410,369,5
411,541,4
412,1523,4
413,1446,4
414,557,4
415,50074,5
416,9135,4
417,16999,5
418,800,4
419,573,4
420,1851,4
421,8715,5
422,1050,4
423,7518,4
424,164,4
425,1861,5
426,700,4
427,2127,5
428,427,5
429,48936,5
431,1511,4
432,103,4
433,104906,5
435,3315,4
437,413,4
438,1148,4
439,589,4
440,584,4
441,675,4
442,981,5
443,9353,5
444,549,5
445,2580,4
446,270,5
447,4954,5
448,815,5
449,438,4
450,49365,5
451,24691,5
452,1944,4
453,120,4
454,4688,4
455,17,4
456,2179798,5
457,10864,2
458,160,4
459,57,4
460,565,3
461,182,4
463,1519,5
464,91,4
466,227,4
467,12,3
468,220,4
469,1206,4
471,953,4
472,201,3
473,6426,5
474,312,4
475,1135,5
476,50362,5
477,195,4
480,1137,4
481,177,4
482,619,4
483,5480,5
484,4252,4
485,343,4
486,1060,3
487,1590,4
489,201,3
490,911,4
491,41717,4
493,41213,4
494,114770,5
495,1590,4
496,100592,5
497,3546,4
498,3045,5
499,1062,4
501,1042,3
502,525,4
503,35005,5
504,3793,4
505,2634,4
507,26,4
508,3674,4
509,594,4
510,100,4
511,1483,5
512,212,4
514,391,4
516,5080,5
517,13309,4
518,756,4
519,13336,5
520,6,4
521,1146,4
522,444,4
523,99,4
524,444,4
525,11,4
527,25316,4
528,169,4
529,249,4
530,4389,3
531,237,4
532,2927,5
533,5199,3
534,10162,5
535,1809,4
536,1914,4
537,203,4
538,99,3
539,134,2
541,3108,5
542,51830,4
543,171,4
545,4896,3
547,1929,5
548,35,4
549,907,4
550,2394,4
552,3993,3
553,352,4
554,2392,4
555,19884,3
556,687,4
557,1352,3
558,870,1
560,4351,4
561,2114,3
562,5814,3
563,1741,5
564,73,3
565,30695,5
566,79,5
567,435,4
568,619,5
569,4452,4
570,3789,5
571,5614,4
572,11708,4
573,24951,4
574,72,4
575,1465,4
576,754,4
577,5503,4
578,106082,5
579,1340,5
580,595,5
581,41,4
583,4669,5
584,1511,5
585,41,4
586,316,4
587,5101,4
588,1622,4
589,1319,5
590,220,1
591,959,5
592,30782,5
593,60821,4
594,428,4
595,52,4
596,16278,5
597,281,4
600,4,4
601,659,1
602,1756,5
603,2139,4
604,558,5
605,4748,4
606,107,4
607,32205,5
608,42988,5
609,6,4
610,89,5
611,2757,3
612,687,5
613,990,5
614,572,4
615,175,5
616,16467,4
617,1286,5
618,3917,5
619,545,5
620,6635,4
621,829,4
622,2548,3
623,111,4
624,3465,5
625,1844,4
626,859,5
627,57,4
629,3730,3
630,2287,5
631,109,4
632,300,4
633,7546,4
635,5281,4
636,1333,4
637,10627,4
638,3635,4
639,373,4
640,493,4
641,3990,3
642,978,5
643,377,4
644,8178,4
645,1239,4
646,20518,5
648,4904,5
649,617,4
650,126,3
651,276,2
652,49,4
653,1132,5
655,756,4
656,103,5
657,79767,5
658,407,4
659,1778,5
660,2670,5
661,1980,5
662,132,5
663,3072,3
664,3668,3
666,1400,4
667,9329,4
668,4216,2
669,3905,5
670,1402,4
672,4105,5
674,26690,5
675,7749,4
677,714,5
678,2655,2
679,1477,4
681,2698,5
683,245,4
685,2970,4
686,598,5
687,15702,4
689,330,4
690,197,5
691,2473,4
692,4581,4
694,21980,4
696,253,4
697,111,4
698,33971,5
699,3842,5
700,3278,5
701,5021,5
704,326,4
705,826,4
706,899,4
707,5037,4
709,6,4
710,46,5
711,95,4
712,11457,4
713,32502,2
714,68,5
715,460,3
717,512,4
718,1070,5
719,126,4
720,25,4
721,2499,4
722,45,4
723,1179,5
724,22044,5
726,10,3
727,152,5
729,1133,4
730,9718,5
731,190,5
733,474,4
734,529,4
735,3139,4
736,2531,4
737,952,4
738,381,1
739,1614,5
740,4613,4
741,1578,5
742,29032,4
743,1142,4
744,395,4
745,320,5
746,267,2
747,857,4
748,8778,4
749,32,4
750,75584,4
751,395,5
752,11094,5
753,833,3
754,377,2
755,561,4
756,319,4
757,3051,4
759,3230,5
760,1131,4
761,1251,4
762,185,4
763,11353,3
764,12983,5
765,417,5
766,1,5
767,509,5
768,339,4
769,352,5
770,8359,2
771,242286,4
772,115,4
774,7642,5
775,4947,5
779,2179,3
780,151,4
781,5665,5
782,3704,4
783,19127,4
784,350,4
785,2326,4
787,139,4
790,213,4
793,389,4
794,6530,3
795,132,4
796,7591,5
797,249,5
798,449,5
799,480,4
800,12,4
801,2309,4
802,92,4
803,792,4
804,8145,4
805,1940,2
806,485,5
807,57,4
808,707,4
809,1057,5
812,1053,5
813,26,4
814,165,5
815,1021,4
816,2924,5
817,355,3
818,319,4
819,8791,5
820,149,4
822,7853,4
823,754,5
824,25436,4
825,19941,4
827,7901,4
828,23180,5
829,2234,3
831,66,4
832,3590,5
833,156,5
834,5372,5
835,620,4
836,5780,2
837,102934,5
838,1345,4
839,315,4
840,1939,5
841,1727,4
842,741,2
843,1552,4
844,49897,5
847,1222,4
848,3177,5
849,948,4
851,251,4
852,36,4
853,119,4
854,8415,3
856,927,5
857,1752,2
858,1917,2
860,287,4
862,806,4
863,1,4
864,1466,4
865,9,4
866,1664,4
867,4998,5
869,38326,5
870,7733,5
872,3320,4
873,4250,4
874,8618,5
876,5569,3
877,59,4
880,12651,5
881,336,5
883,658,3
884,203,5
886,32258,4
888,3791,5
890,754,3
891,3621,4
893,4950,5
894,3756,4
895,10821,4
896,570,4
897,38038,5
898,393,4
899,196,4
900,2180,3
901,21,5
902,4,2
903,83617,5
904,476,4
906,3,4
907,922,3
908,609,4
909,12592,4
910,60,4
911,281,4
912,62,4
913,7341,4
914,2437,4
915,8586,4
916,510,4
918,4,4
919,696,4
920,27646,5
921,129,4
922,162,4
923,91,4
924,33424,5
925,429,4
927,328,4
928,387,4
929,1516,4
930,992,2
931,910,3
932,2815,5
933,15435,4
934,383,3
935,3588,3
936,11161,4
937,2092,4
938,2859,4
939,111,5
940,585,4
941,207,4
942,356,4
943,1442,4
944,125,4
945,3022,5
946,5486,4
948,44449,4
949,41635,4
950,7030,4
951,16880,5
952,1371,4
953,57,4
954,1676,4
955,6232,5
956,5711,5
957,439,4
958,4927,4
959,731,4
960,75683,5
961,112,4
962,3281,5
963,258,5
964,3416,1
965,414,4
966,745,4
967,9932,4
968,1256,4
969,339,4
970,466,4
971,3,4
972,233,4
973,217,5
974,1444,3
975,2109,3
977,24140,5
978,2688,5
979,76140,5
980,338,4
982,1617,5
983,804,4
984,12031,4
985,6499,3
986,2150,5
987,772,3
988,3976,3
989,6981,4
990,5730,4
991,915,5
994,789,4
995,212,4
996,108645,5
997,2427,2
998,79,5
999,427,4
1000,2224,4
1001,1256,4
1002,17272,3
1003,13511,4
1004,1124,4
1005,547,5
1006,16818,3
1007,931,5
1008,15933,5
1009,38,4
1010,2695,3
1011,241,4
1012,127,4
1013,790,4
1014,1559,3
1015,2846,4
1016,21087,2
1017,94,4
1018,285,5
1019,28266,3
1020,33,4
1022,580,4
1024,20256,4
1025,2358,4
1026,108,4
1027,139,4
1028,4020,5
1029,453,5
1030,2708,4
1032,907,4
1033,327,4
1034,5179,4
1035,16393,5
1037,497,4
1038,2411,4
1039,2360,4
1040,5909,2
1041,431,5
1042,7144,4
1044,17652,4
1045,233,4
1046,4806,4
1047,5138,4
1048,1001,5
1049,567,3
1050,326,4
1051,137,4
1052,9282,4
1053,848,2
1054,639,5
1056,3722,3
1057,3722,3
1058,9005,2
1059,76,5
1060,24149,5
1061,8050,4
1062,207,3
1063,17242,4
1064,9216,4
1065,18825,5
1066,485,4
1067,12,4
1068,504,4
1069,639,4
1070,2413,5
1071,6285,5
1072,16911,5
1073,2273,3
1074,20575,5
1076,889,4
1077,9772,4
1078,58,4
1079,849,4
1080,948,4
1081,47294,5
1082,1335,5
1083,4325,4
1084,361,5
1085,4187,4
1086,23,4
1087,125,4
1088,909,4
1089,1355,4
1090,223,4
1092,7247,4
1094,68,4
1095,94,4
1096,15149,3
1097,585,5
1098,2179,4
1099,10466,4
1100,458,4
1102,1799,4
1103,540,1
1104,673,4
1105,316,5
1106,5984,5
1107,167,4
1108,24,4
1109,50,4
1110,111,4
1111,8537,5
1112,2984,4
1113,800,5
1114,67,5
1115,136444,5
1116,7035,3
1117,3810,2
1118,2461,4
1119,94,4
1120,4668,4
1121,16315,5
1122,2903,5
1123,56,4
1124,1,4
1126,537,3
1127,8,5
1128,14,2
1130,230,5
1131,14098,5
1132,669,3
1133,75,4
1135,2,4
1136,1,4
1138,111471,5
1139,96,5
1140,1466,3
1141,216,2
1142,16693,5
1144,46,4
1145,1343,5
1146,863,4
1147,330,4
1148,2033,4
1149,711,4
1152,6955,4
1153,41,3
1154,8162,4
1156,904,4
1157,1927,5
1158,2648,4
1159,1405,5
1160,5547,4
1161,1000,5
1162,11790,5
1163,39,5
1164,17830,4
1165,2023,4
1166,395,5
1167,10904,5
1168,1026,4
1169,231473,4
1170,1020,4
1171,8728,3
1172,4,4
1173,480,4
1174,702,5
1175,801,2
1177,5490,5
1178,57,4
1179,180,4
1180,22626,5
1181,19,5
1182,3582,5
1183,62,4
1184,10363,3
1185,9586,4
1186,1045,4
1187,4725,5
1188,4761,5
1189,689,4
1190,513,5
1192,202,4
1193,2741,4
1194,12,3
1195,25939,3
1196,1967,4
1198,751,4
1200,170,5
1201,3324,4
1203,1289,5
1204,79,5
1205,107,3
1206,455,5
1207,12006,5
1208,1748,4
1209,57656,4
1211,577,4
1212,1562,5
1213,15,5
1214,492,3
1215,13828,4
1217,1200,4
1218,1945,2
1219,136,4
1220,1135,4
1221,268,4
1222,2374,5
1223,181,4
1224,150,4
1225,347,4
1226,2826,4
1227,3186,4
1228,950,4
1229,3428,4
1231,1262,5
1232,3071,5
1233,926,5
1234,255,4
1235,1235,4
1236,26,4
1237,4252,5
1238,2820,4
1239,1912,4
1240,24741,3
1241,138,4
1242,30355,4
1243,69,3
1244,2347,4
1245,993,5
1246,587,5
1247,281,4
1248,188,4
1249,4216,4
1250,2355,4
